CoC Number,CoC Name,"Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
GU-500,Guam CoC,725,103,622,254,53,201,471,50,421,50,39,11
HI-500,Hawaii Balance of State CoC,"2,311",746,"1,565","1,236",337,899,"1,075",409,666,553,18,535
HI-501,Honolulu CoC,"3,750","1,957","1,793","2,090",754,"1,336","1,660","1,203",457,225,114,111
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",271,260,11,127,116,11,144,144,0,55,55,0
IA-501,Iowa Balance of State CoC,"1,950","1,824",126,766,676,90,"1,184","1,148",36,86,75,11
IA-502,Des Moines/Polk County CoC,"1,125","1,003",122,716,629,87,409,374,35,136,95,41
ID-500,Boise/Ada County CoC,611,553,58,420,362,58,191,191,0,10,0,10
ID-501,Idaho Balance of State,853,697,156,397,295,102,456,402,54,36,11,25
IL-500,McHenry County CoC,199,195,4,122,118,4,77,77,0,41,37,4
IL-501,"Rockford/Winnebago, Boone Counties CoC",575,525,50,321,276,45,254,249,5,110,70,40
IL-502,Waukegan/North Chicago/Lake County CoC,439,430,9,221,212,9,218,218,0,48,45,3
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,429,416,13,158,156,2,271,260,11,59,57,2
IL-504,Madison County CoC,214,189,25,69,48,21,145,141,4,3,0,3
IL-506,Joliet/Bolingbrook/Will County CoC,309,299,10,158,148,10,151,151,0,50,50,0
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",350,342,8,202,194,8,148,148,0,65,65,0
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,670,218,452,306,86,220,364,132,232,59,12,47
IL-509,Dekalb City & County CoC,130,106,24,60,48,12,70,58,12,39,29,10
IL-510,Chicago CoC,"5,979","4,346","1,633","3,927","2,359","1,568","2,052","1,987",65,"1,018",334,684
IL-511,Cook County CoC,"1,420","1,162",258,721,472,249,699,690,9,256,160,96
IL-512,Bloomington/Central Illinois CoC,467,399,68,228,185,43,239,214,25,57,44,13
IL-513,Springfield/Sangamon County CoC,235,228,7,216,209,7,19,19,0,101,95,6
IL-514,DuPage County CoC,766,642,124,380,278,102,386,364,22,173,71,102
IL-515,South Central Illinois CoC,270,235,35,45,34,11,225,201,24,5,4,1
IL-516,Decatur/Macon County CoC,347,167,180,124,65,59,223,102,121,34,21,13
IL-517,Aurora/Elgin/Kane County CoC,474,418,56,356,300,56,118,118,0,245,212,33
IL-518,Rock Island/Moline/Northwestern Illinois CoC,352,268,84,158,104,54,194,164,30,18,11,7
IL-519,West Central Illinois CoC,229,99,130,168,47,121,61,52,9,17,6,11
IL-520,Southern Illinois CoC,870,796,74,416,358,58,454,438,16,159,113,46
IN-500,South Bend/Mishawaka/St. Joseph County CoC,998,681,317,822,505,317,176,176,0,125,60,65
IN-502,Indiana Balance of State CoC,"4,906","3,878","1,028","2,990","2,114",876,"1,916","1,764",152,450,102,348
IN-503,Indianapolis CoC,"1,491","1,364",127,"1,125",998,127,366,366,0,121,87,34
KS-502,Wichita/Sedgwick County CoC,473,445,28,342,317,25,131,128,3,93,85,8
KS-503,Topeka/Shawnee County CoC,341,316,25,199,174,25,142,142,0,31,22,9
KS-505,Overland Park/Shawnee/Johnson County CoC,234,147,87,60,17,43,174,130,44,12,3,9
KS-507,Kansas Balance of State CoC,524,483,41,373,335,38,151,148,3,18,12,6
KY-500,Kentucky Balance of State CoC,"4,027","2,416","1,611","1,713",911,802,"2,314","1,505",809,259,117,142
KY-501,Louisville/Jefferson County CoC,"2,682","2,537",145,"1,721","1,576",145,961,961,0,256,176,80
KY-502,Lexington/Fayette County CoC,"1,428","1,242",186,910,760,150,518,482,36,127,87,40
LA-500,Lafayette/Acadiana CoC,631,457,174,305,214,91,326,243,83,47,16,31
LA-502,Shreveport/Bossier/Northwest CoC,"1,042",898,144,489,389,100,553,509,44,52,17,35
LA-503,New Orleans/Jefferson Parish CoC,"1,619",990,629,801,504,297,818,486,332,220,60,160
LA-504,Baton Rouge CoC,"1,006",675,331,701,481,220,305,194,111,140,8,132
LA-505,Monroe/Northeast Louisiana CoC,276,201,75,109,87,22,167,114,53,8,3,5
LA-506,Slidell/Southeast Louisiana CoC,522,210,312,241,74,167,281,136,145,44,10,34
LA-507,Alexandria/Central Louisiana CoC,128,93,35,92,62,30,36,31,5,25,7,18
LA-508,Houma-Terrebonne/Thibodaux CoC,163,122,41,62,40,22,101,82,19,14,3,11
LA-509,Louisiana Balance of State,94,54,40,94,54,40,0,0,0,63,53,10
MA-500,Boston CoC,"5,198","5,014",184,"2,683","2,499",184,"2,515","2,515",0,915,834,81
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC","1,090","1,013",77,443,383,60,647,630,17,85,42,43
MA-502,Lynn CoC,389,350,39,252,213,39,137,137,0,105,66,39
MA-503,Cape Cod/Islands CoC,741,424,317,353,179,174,388,245,143,201,77,124
MA-504,Springfield CoC,696,676,20,329,309,20,367,367,0,107,89,18
MA-505,New Bedford CoC,380,299,81,279,198,81,101,101,0,27,27,0
MA-506,Worcester City & County CoC,"1,291","1,257",34,586,552,34,705,705,0,129,112,17
MA-507,Pittsfield/Berkshire County CoC,237,210,27,181,159,22,56,51,5,31,18,13
MA-508,Lowell CoC,398,390,8,208,200,8,190,190,0,84,76,8
MA-509,Cambridge CoC,486,424,62,359,297,62,127,127,0,182,120,62
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,656,625,31,367,336,31,289,289,0,88,78,10
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,901,824,77,384,307,77,517,517,0,163,111,52
MA-514,Framingham/Waltham CoC,636,629,7,173,166,7,463,463,0,90,83,7
MA-515,Fall River CoC,143,138,5,87,82,5,56,56,0,15,14,1
MA-516,Massachusetts Balance of State,831,766,65,262,197,65,569,569,0,80,45,35
MA-517,Somerville CoC,179,177,2,107,105,2,72,72,0,10,10,0
MA-518,Brookline/Newton CoC,121,118,3,7,4,3,114,114,0,0,0,0
MA-519,Attleboro/Taunton/Bristol County CoC,133,103,30,67,37,30,66,66,0,40,28,12
MD-500,Cumberland/Allegany County CoC,132,83,49,36,22,14,96,61,35,17,8,9
MD-501,Baltimore City CoC,"2,607","1,978",629,"1,653","1,370",283,954,608,346,410,218,192
MD-502,Harford County CoC,145,132,13,94,81,13,51,51,0,31,23,8
MD-503,Annapolis/Anne Arundel County CoC,290,240,50,132,82,50,158,158,0,46,38,8
MD-504,Howard County CoC,159,135,24,35,20,15,124,115,9,5,0,5
MD-505,Baltimore County CoC,426,393,33,133,119,14,293,274,19,72,65,7
MD-506,Carroll County CoC,174,161,13,124,113,11,50,48,2,31,28,3
MD-507,Cecil County CoC,152,139,13,68,55,13,84,84,0,35,22,13
MD-508,"Charles, Calvert, St.Mary's Counties CoC","1,938",253,"1,685",591,103,488,"1,347",150,"1,197",218,28,190
MD-509,Frederick City & County CoC,246,224,22,126,108,18,120,116,4,55,42,13
MD-510,Garrett County CoC,82,63,19,33,24,9,49,39,10,0,0,0
MD-511,Mid-Shore Regional CoC,310,139,171,199,75,124,111,64,47,63,0,63
MD-512,Hagerstown/Washington County CoC,214,192,22,109,105,4,105,87,18,39,35,4
MD-513,Wicomico/Somerset/Worcester County CoC,251,214,37,160,130,30,91,84,7,43,32,11
MD-600,Prince George`s County/Maryland CoC,943,798,145,573,428,145,370,370,0,216,71,145
MD-601,Montgomery County CoC,"1,150",910,240,740,500,240,410,410,0,208,119,89
ME-500,Maine Balance of State CoC,"1,903","1,864",39,784,749,35,"1,119","1,115",4,67,58,9
ME-502,Portland CoC,729,724,5,457,452,5,272,272,0,65,65,0
MI-500,Michigan Balance of State CoC,"2,355","1,386",969,"1,014",496,518,"1,341",890,451,156,79,77
MI-501,Detroit CoC,"18,062","4,738","13,324","11,913","3,635","8,278","6,149","1,103","5,046","1,503",261,"1,242"
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,865,618,247,513,416,97,352,202,150,122,42,80
MI-503,St. Clair Shores/Warren/Macomb County CoC,769,251,518,541,168,373,228,83,145,163,32,131
MI-504,Pontiac/Royal Oak/Oakland County CoC,"1,011",402,609,804,202,602,207,200,7,190,167,23
MI-505,Flint/Genesee County CoC,245,227,18,129,119,10,116,108,8,26,23,3
MI-506,Grand Rapids/Wyoming/Kent County CoC,794,752,42,407,371,36,387,381,6,109,73,36
MI-507,Portage/Kalamazoo City & County CoC,862,783,79,276,233,43,586,550,36,70,70,0
MI-508,Lansing/East Lansing/Ingham County CoC,408,391,17,205,188,17,203,203,0,122,105,17
MI-509,Ann Arbor/Washtenaw County CoC,413,357,56,285,229,56,128,128,0,85,48,37
MI-510,Saginaw City & County CoC,361,274,87,237,178,59,124,96,28,57,56,1
MI-511,Lenawee County CoC,93,85,8,45,43,2,48,42,6,20,19,1
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",241,216,25,165,140,25,76,76,0,55,36,19
MI-513,"Marquette, Alger Counties CoC",37,37,0,16,16,0,21,21,0,0,0,0
MI-514,Battle Creek/Calhoun County CoC,274,164,110,193,91,102,81,73,8,46,46,0
MI-515,Monroe City & County CoC,142,131,11,109,98,11,33,33,0,16,6,10
MI-516,Norton Shores/Muskegon City & County CoC,351,171,180,113,88,25,238,83,155,16,9,7
MI-517,Jackson City & County CoC,414,344,70,217,161,56,197,183,14,2,1,1
MI-518,Livingston County CoC,63,58,5,25,20,5,38,38,0,4,3,1
MI-519,Holland/Ottawa County CoC,291,291,0,120,120,0,171,171,0,6,6,0
MI-523,Eaton County CoC,197,105,92,37,2,35,160,103,57,3,2,1
MN-500,Minneapolis/Hennepin County CoC,"3,369","2,813",556,"1,670","1,150",520,"1,699","1,663",36,905,668,237
MN-501,Saint Paul/Ramsey County CoC,"1,294","1,170",124,618,503,115,676,667,9,240,189,51
MN-502,Rochester/Southeast Minnesota CoC,446,413,33,143,127,16,303,286,17,32,26,6
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",800,664,136,141,95,46,659,569,90,38,18,20
MN-504,Northeast Minnesota CoC,230,114,116,98,38,60,132,76,56,24,4,20
MN-505,St. Cloud/Central Minnesota CoC,389,313,76,187,144,43,202,169,33,69,33,36
MN-506,Northwest Minnesota CoC,230,199,31,75,52,23,155,147,8,39,28,11
MN-508,Moorhead/West Central Minnesota CoC,242,165,77,144,75,69,98,90,8,82,49,33
MN-509,Duluth/St.Louis County CoC,501,294,207,270,105,165,231,189,42,105,35,70
MN-511,Southwest Minnesota CoC,143,125,18,42,28,14,101,97,4,3,2,1
MO-500,St. Louis County CoC,458,396,62,115,64,51,343,332,11,59,29,30
MO-501,St.Louis City CoC,"1,386","1,173",213,800,587,213,586,586,0,258,238,20
MO-503,"St. Charles, Lincoln, Warren Counties CoC",593,305,288,253,126,127,340,179,161,35,23,12
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",713,506,207,451,304,147,262,202,60,91,4,87
MO-602,"Joplin/Jasper, Newton Counties CoC",380,307,73,282,209,73,98,98,0,14,11,3
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",159,131,28,72,51,21,87,80,7,17,14,3
MO-604a,"Kansas City, Independence, Lee?s Summit/Jackson, Wyandotte Counties, MO & KS","2,260","1,669",591,"1,262",905,357,998,764,234,570,448,122
MO-606,Missouri Balance of State CoC,"1,904","1,229",675,"1,066",592,474,838,637,201,205,146,59
MS-500,"Jackson/Rankin, Madison Counties CoC","1,302",795,507,"1,208",703,505,94,92,2,656,342,314
MS-501,Mississippi Balance of State CoC,385,344,41,233,192,41,152,152,0,99,70,29
MS-503,Gulf Port/Gulf Coast Regional CoC,274,67,207,256,53,203,18,14,4,122,5,117
MT-500,Montana Statewide CoC,"1,417","1,007",410,968,617,351,449,390,59,138,46,92
NC-500,Winston Salem/Forsyth County CoC,452,423,29,366,337,29,86,86,0,141,136,5
NC-501,Asheville/Buncombe County CoC,509,429,80,407,330,77,102,99,3,175,112,63
NC-502,Durham City & County CoC,590,554,36,474,438,36,116,116,0,105,69,36
NC-503,North Carolina Balance of State CoC,"2,742","1,830",912,"1,513","1,012",501,"1,229",818,411,291,105,186
NC-504,Greensboro/High Point CoC,987,879,108,680,584,96,307,295,12,101,51,50
NC-505,Charlotte/Mecklenberg CoC,"1,988","1,550",438,"1,519","1,089",430,469,461,8,261,232,29
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",496,427,69,319,252,67,177,175,2,106,77,29
NC-507,Raleigh/Wake County CoC,"1,144","1,071",73,826,753,73,318,318,0,109,91,18
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",920,257,663,760,192,568,160,65,95,105,7,98
NC-511,Fayetteville/Cumberland County CoC,"1,074",266,808,606,94,512,468,172,296,115,14,101
NC-513,Chapel Hill/Orange County CoC,195,177,18,156,141,15,39,36,3,58,50,8
NC-516,Northwest North Carolina CoC,"1,314",162,"1,152","1,123",115,"1,008",191,47,144,260,20,240
ND-500,North Dakota Statewide CoC,615,596,19,375,362,13,240,234,6,51,50,1
NE-500,Nebraska Balance of State CoC,"1,637","1,237",400,608,457,151,"1,029",780,249,78,53,25
NE-501,Omaha/Council Bluffs CoC,"1,197","1,125",72,928,856,72,269,269,0,550,500,50
NE-502,Lincoln CoC,"1,151",865,286,708,511,197,443,354,89,79,74,5
