CoC Number,CoC Name,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
UT-504,Provo/Mountainland CoC,203,165,38,106,71,35,97,94,3,5,2,3,5,2,3,0,0,0,9,3,6,20,15,5,11,11,0,9,4,5,7,7,0,0,0,0,7,7,0,8,8,0
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",818,732,86,671,585,86,147,147,0,124,101,23,109,86,23,15,15,0,121,115,6,36,31,5,0,0,0,36,31,5,11,11,0,0,0,0,11,11,0,15,15,0
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",735,680,55,486,433,53,249,247,2,75,68,7,73,66,7,2,2,0,82,72,10,29,26,3,0,0,0,29,26,3,16,16,0,0,0,0,16,16,0,22,22,0
VA-502,Roanoke City & County/Salem CoC,390,378,12,260,248,12,130,130,0,80,78,2,73,71,2,7,7,0,45,43,2,16,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
VA-503,Virginia Beach CoC,419,361,58,240,184,56,179,177,2,108,68,40,108,68,40,0,0,0,58,42,16,28,28,0,11,11,0,17,17,0,5,5,0,0,0,0,5,5,0,8,8,0
VA-504,Charlottesville CoC,185,160,25,127,102,25,58,58,0,33,12,21,31,10,21,2,2,0,12,8,4,9,8,1,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0
VA-505,Newport News/Hampton/Virginia Peninsula CoC,520,450,70,351,286,65,169,164,5,47,24,23,47,24,23,0,0,0,96,91,5,17,14,3,0,0,0,17,14,3,3,3,0,0,0,0,3,3,0,8,8,0
VA-507,Portsmouth CoC,174,127,47,107,60,47,67,67,0,32,12,20,32,12,20,0,0,0,9,6,3,7,4,3,0,0,0,7,4,3,3,3,0,0,0,0,3,3,0,5,5,0
VA-508,Lynchburg CoC,237,227,10,150,140,10,87,87,0,24,23,1,11,10,1,13,13,0,18,15,3,24,23,1,0,0,0,24,23,1,2,2,0,0,0,0,2,2,0,3,3,0
VA-513,"Harrisburg, Winchester/Western Virginia CoC",242,230,12,167,158,9,75,72,3,61,51,10,54,47,7,7,4,3,12,10,2,29,28,1,0,0,0,29,28,1,5,5,0,0,0,0,5,5,0,6,6,0
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",217,179,38,123,94,29,94,85,9,51,17,34,42,17,25,9,0,9,13,9,4,13,9,4,0,0,0,13,9,4,5,5,0,0,0,0,5,5,0,9,9,0
VA-521,Virginia Balance of State (BoS) CoC,773,634,139,431,320,111,342,314,28,90,42,48,57,27,30,33,15,18,38,26,12,31,25,6,0,0,0,31,25,6,19,17,2,0,0,0,19,17,2,24,23,1
VA-600,Arlington County CoC,239,200,39,164,125,39,75,75,0,70,51,19,68,49,19,2,2,0,19,12,7,5,5,0,0,0,0,5,5,0,8,8,0,0,0,0,8,8,0,10,10,0
VA-601,Fairfax County CoC,"1,204","1,136",68,489,421,68,715,715,0,219,171,48,203,155,48,16,16,0,46,41,5,53,49,4,1,1,0,52,48,4,29,29,0,0,0,0,29,29,0,38,38,0
VA-602,Loudoun County CoC,172,133,39,80,41,39,92,92,0,20,10,10,18,8,10,2,2,0,5,1,4,7,2,5,0,0,0,7,2,5,3,3,0,0,0,0,3,3,0,3,3,0
VA-603,City of Alexandria CoC,267,244,23,159,136,23,108,108,0,54,38,16,48,32,16,6,6,0,12,10,2,6,6,0,0,0,0,6,6,0,10,10,0,0,0,0,10,10,0,17,17,0
VA-604,Prince William County CoC,409,319,90,185,101,84,224,218,6,70,23,47,67,20,47,3,3,0,18,12,6,20,14,6,0,0,0,20,14,6,10,10,0,0,0,0,10,10,0,19,19,0
VI-500,Virgin Islands CoC,337,85,252,308,56,252,29,29,0,22,4,18,22,4,18,0,0,0,34,4,30,12,4,8,0,0,0,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0
VT-500,Vermont Balance of State CoC,"1,052",984,68,572,504,68,480,480,0,65,53,12,43,31,12,22,22,0,94,89,5,62,54,8,2,2,0,60,52,8,32,32,0,1,1,0,31,31,0,33,33,0
