CoC Number,CoC Name,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
IL-504,Madison County CoC,168,144,24,38,23,15,130,121,9,28,15,13,12,5,7,16,10,6,10,10,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-506,Joliet/Bolingbrook/Will County CoC,340,314,26,207,184,23,133,130,3,49,35,14,40,26,14,9,9,0,23,23,0,16,11,5,0,0,0,16,11,5,5,5,0,0,0,0,5,5,0,9,9,0
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",451,383,68,262,233,29,189,150,39,76,64,12,68,56,12,8,8,0,29,23,6,42,41,1,0,0,0,42,41,1,1,0,1,0,0,0,1,0,1,2,0,2
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,318,166,152,176,52,124,142,114,28,101,17,84,94,10,84,7,7,0,38,23,15,9,5,4,0,0,0,9,5,4,16,14,2,0,0,0,16,14,2,27,25,2
IL-509,Dekalb City & County CoC,101,99,2,45,43,2,56,56,0,0,0,0,0,0,0,0,0,0,1,1,0,7,7,0,0,0,0,7,7,0,2,2,0,0,0,0,2,2,0,6,6,0
IL-510,Chicago CoC,"6,786","4,731","2,055","4,592","2,558","2,034","2,194","2,173",21,"1,066",389,677,"1,050",373,677,16,16,0,752,346,406,446,325,121,8,5,3,438,320,118,199,199,0,0,0,0,199,199,0,301,301,0
IL-511,Cook County CoC,895,785,110,528,418,110,367,367,0,106,81,25,106,81,25,0,0,0,92,85,7,38,31,7,2,1,1,36,30,6,19,19,0,0,0,0,19,19,0,24,24,0
IL-512,Bloomington/Central Illinois CoC,619,565,54,238,221,17,381,344,37,63,47,16,48,32,16,15,15,0,20,19,1,16,15,1,1,1,0,15,14,1,6,6,0,2,2,0,4,4,0,11,11,0
IL-513,Springfield/Sangamon County CoC,326,311,15,227,212,15,99,99,0,30,23,7,30,23,7,0,0,0,28,24,4,22,22,0,2,2,0,20,20,0,3,3,0,0,0,0,3,3,0,4,4,0
IL-514,DuPage County CoC,672,642,30,290,260,30,382,382,0,54,50,4,54,50,4,0,0,0,21,20,1,52,51,1,8,8,0,44,43,1,29,29,0,0,0,0,29,29,0,38,38,0
IL-515,South Central Illinois CoC,122,98,24,44,28,16,78,70,8,12,12,0,7,7,0,5,5,0,9,9,0,3,1,2,2,1,1,1,0,1,2,2,0,0,0,0,2,2,0,2,2,0
IL-516,Decatur/Macon County CoC,238,199,39,170,134,36,68,65,3,70,48,22,67,48,19,3,0,3,10,6,4,4,4,0,0,0,0,4,4,0,6,6,0,0,0,0,6,6,0,10,10,0
IL-517,Aurora/Elgin/Kane County CoC,388,374,14,267,253,14,121,121,0,87,78,9,84,75,9,3,3,0,22,21,1,17,17,0,0,0,0,17,17,0,7,7,0,0,0,0,7,7,0,7,7,0
IL-518,Rock Island/Moline/Northwestern Illinois CoC,254,238,16,180,167,13,74,71,3,31,18,13,29,18,11,2,0,2,20,16,4,33,29,4,0,0,0,33,29,4,0,0,0,0,0,0,0,0,0,0,0,0
IL-519,West Central Illinois CoC,100,98,2,61,59,2,39,39,0,8,8,0,8,8,0,0,0,0,3,3,0,27,26,1,0,0,0,27,26,1,0,0,0,0,0,0,0,0,0,0,0,0
IL-520,Southern Illinois CoC,346,316,30,192,166,26,154,150,4,43,38,5,18,13,5,25,25,0,27,22,5,27,25,2,0,0,0,27,25,2,16,13,3,0,0,0,16,13,3,23,19,4
IN-500,South Bend/Mishawaka/St. Joseph County CoC,533,521,12,332,320,12,201,201,0,66,62,4,59,55,4,7,7,0,56,56,0,29,28,1,4,4,0,25,24,1,15,15,0,0,0,0,15,15,0,19,19,0
IN-502,Indiana Balance of State CoC,"3,664","3,204",460,"2,353","1,907",446,"1,311","1,297",14,422,307,115,365,258,107,57,49,8,345,294,51,245,216,29,24,24,0,221,192,29,58,58,0,3,3,0,55,55,0,83,83,0
IN-503,Indianapolis CoC,"1,666","1,555",111,"1,229","1,126",103,437,429,8,215,160,55,184,137,47,31,23,8,389,376,13,99,89,10,8,8,0,91,81,10,30,29,1,0,0,0,30,29,1,47,45,2
KS-502,Wichita/Sedgwick County CoC,561,462,99,411,312,99,150,150,0,94,55,39,92,53,39,2,2,0,59,41,18,35,25,10,0,0,0,35,25,10,11,11,0,0,0,0,11,11,0,14,14,0
KS-503,Topeka/Shawnee County CoC,405,372,33,260,227,33,145,145,0,82,56,26,76,50,26,6,6,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS-505,Overland Park/Shawnee/Johnson County CoC,174,151,23,23,10,13,151,141,10,6,3,3,1,1,0,5,2,3,0,0,0,6,1,5,0,0,0,6,1,5,4,3,1,0,0,0,4,3,1,6,5,1
KS-507,Kansas Balance of State CoC,"1,208","1,093",115,642,536,106,566,557,9,152,108,44,129,87,42,23,21,2,178,166,12,33,32,1,1,1,0,32,31,1,13,13,0,0,0,0,13,13,0,11,11,0
KY-500,Kentucky Balance of State CoC,"2,119","1,497",622,"1,242",823,419,877,674,203,84,60,24,66,45,21,18,15,3,234,196,38,113,70,43,6,6,0,107,64,43,49,38,11,0,0,0,49,38,11,65,56,9
KY-501,Louisville/Jefferson County CoC,"1,161","1,080",81,854,783,71,307,297,10,145,131,14,118,107,11,27,24,3,190,179,11,65,56,9,14,14,0,51,42,9,20,20,0,0,0,0,20,20,0,27,27,0
KY-502,Lexington/Fayette County CoC,"1,258","1,219",39,"1,055","1,016",39,203,203,0,228,222,6,199,193,6,29,29,0,167,166,1,70,68,2,7,7,0,63,61,2,6,6,0,0,0,0,6,6,0,7,7,0
LA-500,Lafayette/Acadiana CoC,493,373,120,327,209,118,166,164,2,68,31,37,66,31,35,2,0,2,48,38,10,25,11,14,0,0,0,25,11,14,11,11,0,0,0,0,11,11,0,19,19,0
LA-502,Shreveport/Bossier/Northwest CoC,390,310,80,304,224,80,86,86,0,116,64,52,97,45,52,19,19,0,96,90,6,16,14,2,2,2,0,14,12,2,11,11,0,0,0,0,11,11,0,17,17,0
LA-503,New Orleans/Jefferson Parish CoC,"1,703",914,789,"1,510",724,786,193,190,3,423,108,315,414,101,313,9,7,2,108,96,12,237,103,134,13,10,3,224,93,131,20,20,0,0,0,0,20,20,0,35,35,0
LA-504,Baton Rouge CoC,659,585,74,575,503,72,84,82,2,68,25,43,68,25,43,0,0,0,75,68,7,60,60,0,0,0,0,60,60,0,3,3,0,0,0,0,3,3,0,5,5,0
LA-505,Monroe/Northeast Louisiana CoC,191,170,21,85,64,21,106,106,0,19,3,16,19,3,16,0,0,0,8,6,2,17,17,0,5,5,0,12,12,0,9,9,0,0,0,0,9,9,0,15,15,0
LA-506,Slidell/Southeast Louisiana CoC,243,193,50,143,108,35,100,85,15,36,28,8,32,24,8,4,4,0,40,39,1,6,4,2,0,0,0,6,4,2,4,4,0,0,0,0,4,4,0,11,11,0
LA-507,Alexandria/Central Louisiana CoC,154,130,24,122,98,24,32,32,0,17,8,9,17,8,9,0,0,0,4,1,3,6,4,2,0,0,0,6,4,2,3,3,0,0,0,0,3,3,0,3,3,0
LA-508,Houma-Terrebonne/Thibodaux CoC,144,142,2,59,57,2,85,85,0,7,7,0,5,5,0,2,2,0,9,9,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LA-509,Louisiana Balance of State,104,73,31,92,66,26,12,7,5,19,13,6,17,13,4,2,0,2,4,3,1,18,16,2,10,10,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0
MA-500,Boston CoC,"6,492","6,353",139,"2,539","2,400",139,"3,953","3,953",0,957,922,35,635,600,35,322,322,0,383,374,9,120,107,13,1,1,0,119,106,13,54,54,0,0,0,0,54,54,0,54,54,0
MA-502,Lynn CoC,445,428,17,160,143,17,285,285,0,10,4,6,10,4,6,0,0,0,7,7,0,28,27,1,0,0,0,28,27,1,32,32,0,0,0,0,32,32,0,32,32,0
MA-503,Cape Cod/Islands CoC,362,315,47,192,154,38,170,161,9,78,57,21,48,27,21,30,30,0,31,26,5,9,9,0,0,0,0,9,9,0,28,28,0,0,0,0,28,28,0,27,27,0
MA-504,Springfield CoC,"3,002","2,992",10,374,364,10,"2,628","2,628",0,293,289,4,69,65,4,224,224,0,38,38,0,45,44,1,1,1,0,44,43,1,243,243,0,0,0,0,243,243,0,292,292,0
MA-505,New Bedford CoC,437,387,50,241,191,50,196,196,0,43,10,33,37,4,33,6,6,0,42,38,4,22,17,5,1,0,1,21,17,4,7,7,0,0,0,0,7,7,0,11,11,0
MA-506,Worcester City & County CoC,"1,682","1,606",76,518,446,72,"1,164","1,160",4,61,40,21,36,15,21,25,25,0,181,178,3,38,36,2,0,0,0,38,36,2,65,65,0,0,0,0,65,65,0,101,101,0
MA-507,Pittsfield/Berkshire County CoC,781,762,19,414,395,19,367,367,0,107,95,12,78,66,12,29,29,0,220,220,0,25,24,1,0,0,0,25,24,1,35,35,0,0,0,0,35,35,0,33,33,0
MA-508,Lowell CoC,635,609,26,229,203,26,406,406,0,77,63,14,71,57,14,6,6,0,44,43,1,23,23,0,0,0,0,23,23,0,22,22,0,0,0,0,22,22,0,27,27,0
MA-509,Cambridge CoC,464,432,32,338,306,32,126,126,0,97,67,30,97,67,30,0,0,0,17,14,3,14,12,2,0,0,0,14,12,2,13,13,0,0,0,0,13,13,0,16,16,0
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,"1,577","1,544",33,237,208,29,"1,340","1,336",4,273,264,9,121,112,9,152,152,0,28,28,0,7,7,0,0,0,0,7,7,0,89,89,0,0,0,0,89,89,0,152,152,0
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,"1,803","1,775",28,390,362,28,"1,413","1,413",0,256,233,23,115,92,23,141,141,0,64,63,1,21,20,1,0,0,0,21,20,1,91,91,0,0,0,0,91,91,0,113,113,0
MA-515,Fall River CoC,406,406,0,125,125,0,281,281,0,61,61,0,34,34,0,27,27,0,3,3,0,6,6,0,0,0,0,6,6,0,7,7,0,3,3,0,4,4,0,10,10,0
MA-516,Massachusetts Balance of State,"2,071","2,052",19,322,303,19,"1,749","1,749",0,195,180,15,15,0,15,180,180,0,48,48,0,20,19,1,0,0,0,20,19,1,99,99,0,0,0,0,99,99,0,135,135,0
MA-517,Somerville CoC,158,152,6,107,101,6,51,51,0,11,5,6,11,5,6,0,0,0,14,14,0,13,13,0,0,0,0,13,13,0,14,14,0,2,2,0,12,12,0,16,16,0
MA-518,Brookline/Newton CoC,580,530,50,116,78,38,464,452,12,21,19,2,17,15,2,4,4,0,5,2,3,13,10,3,2,2,0,11,8,3,21,21,0,1,1,0,20,20,0,28,28,0
MA-519,Attleboro/Taunton/Bristol County CoC,240,199,41,76,35,41,164,164,0,21,11,10,17,7,10,4,4,0,8,5,3,11,10,1,0,0,0,11,10,1,19,19,0,4,4,0,15,15,0,23,23,0
MD-500,Cumberland/Allegany County CoC,96,77,19,48,33,15,48,44,4,11,3,8,11,3,8,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,1,1,0,0,0,0,1,1,0,1,1,0
MD-501,Baltimore City CoC,"2,796","2,459",337,"2,193","1,856",337,603,603,0,556,388,168,541,373,168,15,15,0,373,338,35,176,150,26,15,12,3,161,138,23,49,49,0,0,0,0,49,49,0,80,80,0
MD-502,Harford County CoC,210,207,3,78,75,3,132,132,0,51,48,3,45,42,3,6,6,0,6,6,0,20,20,0,8,8,0,12,12,0,5,5,0,0,0,0,5,5,0,8,8,0
MD-503,Annapolis/Anne Arundel County CoC,335,287,48,224,176,48,111,111,0,71,46,25,71,46,25,0,0,0,28,24,4,8,5,3,0,0,0,8,5,3,2,2,0,0,0,0,2,2,0,3,3,0
MD-504,Howard County CoC,166,123,43,83,43,40,83,80,3,35,18,17,28,11,17,7,7,0,3,2,1,6,5,1,0,0,0,6,5,1,2,2,0,0,0,0,2,2,0,4,4,0
MD-505,Baltimore County CoC,745,450,295,433,214,219,312,236,76,213,73,140,164,60,104,49,13,36,43,14,29,20,13,7,0,0,0,20,13,7,13,8,5,0,0,0,13,8,5,19,13,6
MD-506,Carroll County CoC,140,129,11,72,66,6,68,63,5,32,23,9,25,21,4,7,2,5,4,3,1,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-507,Cecil County CoC,191,156,35,144,114,30,47,42,5,32,14,18,29,14,15,3,0,3,76,74,2,2,1,1,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,1,0,1
MD-508,"Charles, Calvert, St.Mary's Counties CoC",981,412,569,547,243,304,434,169,265,425,161,264,330,130,200,95,31,64,40,19,21,129,46,83,20,0,20,109,46,63,12,6,6,0,0,0,12,6,6,15,9,6
MD-509,Frederick City & County CoC,311,251,60,181,121,60,130,130,0,89,38,51,89,38,51,0,0,0,13,5,8,18,9,9,0,0,0,18,9,9,1,1,0,0,0,0,1,1,0,2,2,0
MD-510,Garrett County CoC,9,9,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,Mid-Shore Regional CoC,158,123,35,105,76,29,53,47,6,22,12,10,22,12,10,0,0,0,9,6,3,11,7,4,0,0,0,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0
MD-512,Hagerstown/Washington County CoC,201,164,37,148,114,34,53,50,3,54,38,16,47,31,16,7,7,0,34,32,2,10,8,2,2,0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-513,Wicomico/Somerset/Worcester County CoC,326,278,48,259,211,48,67,67,0,51,27,24,51,27,24,0,0,0,26,23,3,19,17,2,1,1,0,18,16,2,2,2,0,0,0,0,2,2,0,2,2,0
MD-600,Prince George`s County/Maryland CoC,625,472,153,268,148,120,357,324,33,43,14,29,25,8,17,18,6,12,35,20,15,23,9,14,8,1,7,15,8,7,18,18,0,0,0,0,18,18,0,27,27,0
MD-601,Montgomery County CoC,"1,100",997,103,598,495,103,502,502,0,162,113,49,156,107,49,6,6,0,24,20,4,27,25,2,0,0,0,27,25,2,32,32,0,0,0,0,32,32,0,55,55,0
ME-500,Maine Balance of State CoC,"1,632","1,573",59,700,651,49,932,922,10,106,92,14,82,68,14,24,24,0,108,99,9,96,95,1,15,15,0,81,80,1,43,42,1,0,0,0,43,42,1,54,52,2
ME-502,Portland CoC,740,740,0,519,519,0,221,221,0,111,111,0,111,111,0,0,0,0,43,43,0,50,50,0,3,3,0,47,47,0,13,13,0,0,0,0,13,13,0,13,13,0
MI-500,Michigan Balance of State CoC,"1,745","1,523",222,939,750,189,806,773,33,56,37,19,52,33,19,4,4,0,94,76,18,271,233,38,61,57,4,210,176,34,42,41,1,0,0,0,42,41,1,57,55,2
MI-501,Detroit CoC,"2,597","2,446",151,"1,964","1,813",151,633,633,0,263,183,80,213,133,80,50,50,0,486,480,6,185,175,10,22,21,1,163,154,9,74,74,0,0,0,0,74,74,0,115,115,0
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,333,322,11,151,140,11,182,182,0,7,6,1,7,6,1,0,0,0,17,16,1,16,14,2,6,6,0,10,8,2,6,6,0,0,0,0,6,6,0,12,12,0
MI-503,St. Clair Shores/Warren/Macomb County CoC,450,381,69,340,271,69,110,110,0,39,16,23,39,16,23,0,0,0,51,49,2,85,78,7,1,1,0,84,77,7,8,8,0,0,0,0,8,8,0,10,10,0
MI-504,Pontiac/Royal Oak/Oakland County CoC,485,389,96,315,219,96,170,170,0,51,48,3,48,45,3,3,3,0,13,13,0,30,29,1,4,4,0,26,25,1,11,11,0,0,0,0,11,11,0,16,16,0
MI-505,Flint/Genesee County CoC,488,308,180,338,167,171,150,141,9,95,18,77,90,13,77,5,5,0,46,28,18,57,42,15,13,12,1,44,30,14,6,6,0,0,0,0,6,6,0,9,9,0
MI-506,Grand Rapids/Wyoming/Kent County CoC,912,886,26,473,447,26,439,439,0,50,43,7,50,43,7,0,0,0,95,91,4,55,54,1,16,16,0,39,38,1,33,33,0,0,0,0,33,33,0,56,56,0
MI-507,Portage/Kalamazoo City & County CoC,568,560,8,217,209,8,351,351,0,22,22,0,10,10,0,12,12,0,7,7,0,44,42,2,12,12,0,32,30,2,20,20,0,0,0,0,20,20,0,33,33,0
MI-508,Lansing/East Lansing/Ingham County CoC,418,365,53,293,240,53,125,125,0,78,54,24,75,51,24,3,3,0,51,47,4,24,18,6,3,3,0,21,15,6,12,12,0,0,0,0,12,12,0,19,19,0
MI-509,Ann Arbor/Washtenaw County CoC,372,292,80,309,229,80,63,63,0,89,64,25,79,54,25,10,10,0,49,44,5,17,13,4,1,1,0,16,12,4,2,2,0,0,0,0,2,2,0,3,3,0
MI-510,Saginaw City & County CoC,308,289,19,190,176,14,118,113,5,24,23,1,19,18,1,5,5,0,16,15,1,23,23,0,1,1,0,22,22,0,10,10,0,0,0,0,10,10,0,17,17,0
MI-511,Lenawee County CoC,128,110,18,55,51,4,73,59,14,19,16,3,13,13,0,6,3,3,6,6,0,14,13,1,2,2,0,12,11,1,3,3,0,0,0,0,3,3,0,4,4,0
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",302,265,37,226,189,37,76,76,0,49,26,23,49,26,23,0,0,0,10,9,1,42,40,2,8,8,0,34,32,2,6,6,0,0,0,0,6,6,0,5,5,0
MI-513,"Marquette, Alger Counties CoC",79,77,2,42,40,2,37,37,0,6,4,2,6,4,2,0,0,0,11,10,1,7,6,1,0,0,0,7,6,1,2,2,0,0,0,0,2,2,0,3,3,0
MI-514,Battle Creek/Calhoun County CoC,285,226,59,189,142,47,96,84,12,43,26,17,43,26,17,0,0,0,58,44,14,13,12,1,0,0,0,13,12,1,3,3,0,0,0,0,3,3,0,4,4,0
MI-515,Monroe City & County CoC,185,181,4,129,125,4,56,56,0,6,5,1,6,5,1,0,0,0,36,36,0,11,11,0,1,1,0,10,10,0,5,5,0,0,0,0,5,5,0,4,4,0
MI-516,Norton Shores/Muskegon City & County CoC,179,166,13,125,112,13,54,54,0,5,2,3,5,2,3,0,0,0,4,4,0,36,34,2,4,4,0,32,30,2,5,5,0,0,0,0,5,5,0,6,6,0
MI-517,Jackson City & County CoC,159,152,7,56,52,4,103,100,3,6,5,1,6,5,1,0,0,0,3,3,0,9,9,0,0,0,0,9,9,0,6,6,0,0,0,0,6,6,0,13,13,0
MI-518,Livingston County CoC,103,101,2,48,46,2,55,55,0,2,1,1,2,1,1,0,0,0,8,8,0,11,11,0,4,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
MI-519,Holland/Ottawa County CoC,285,279,6,136,130,6,149,149,0,23,22,1,16,15,1,7,7,0,4,3,1,24,23,1,1,0,1,23,23,0,6,6,0,0,0,0,6,6,0,11,11,0
MI-523,Eaton County CoC,135,126,9,11,5,6,124,121,3,2,0,2,2,0,2,0,0,0,2,2,0,1,0,1,0,0,0,1,0,1,2,1,1,0,0,0,2,1,1,3,1,2
MN-500,Minneapolis/Hennepin County CoC,"3,215","3,092",123,"1,511","1,391",120,"1,704","1,701",3,637,572,65,601,536,65,36,36,0,127,123,4,217,215,2,37,37,0,180,178,2,65,64,1,0,0,0,65,64,1,99,97,2
MN-501,Saint Paul/Ramsey County CoC,"1,398","1,314",84,738,680,58,660,634,26,281,217,64,216,164,52,65,53,12,59,52,7,142,139,3,21,20,1,121,119,2,82,79,3,10,10,0,72,69,3,94,91,3
MN-502,Rochester/Southeast Minnesota CoC,451,429,22,122,104,18,329,325,4,69,64,5,38,33,5,31,31,0,8,5,3,18,16,2,0,0,0,18,16,2,13,12,1,0,0,0,13,12,1,18,17,1
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",608,428,180,298,159,139,310,269,41,64,46,18,32,20,12,32,26,6,28,25,3,114,76,38,33,25,8,81,51,30,33,29,4,1,0,1,32,29,3,56,51,5
MN-504,Northeast Minnesota CoC,68,45,23,32,21,11,36,24,12,18,0,18,11,0,11,7,0,7,3,3,0,14,13,1,3,3,0,11,10,1,1,1,0,1,1,0,0,0,0,1,1,0
MN-505,St. Cloud/Central Minnesota CoC,696,491,205,380,259,121,316,232,84,12,9,3,4,1,3,8,8,0,29,19,10,115,92,23,24,15,9,91,77,14,32,29,3,0,0,0,32,29,3,40,37,3
MN-506,Northwest Minnesota CoC,254,239,15,114,103,11,140,136,4,60,46,14,41,31,10,19,15,4,10,7,3,27,26,1,1,1,0,26,25,1,8,8,0,1,1,0,7,7,0,10,10,0
MN-508,Moorhead/West Central Minnesota CoC,242,234,8,114,110,4,128,124,4,40,39,1,19,18,1,21,21,0,5,5,0,22,22,0,1,1,0,21,21,0,17,17,0,0,0,0,17,17,0,29,29,0
MN-509,Duluth/St.Louis County CoC,490,323,167,283,141,142,207,182,25,205,54,151,157,28,129,48,26,22,26,14,12,61,37,24,11,11,0,50,26,24,15,11,4,0,0,0,15,11,4,18,11,7
MN-511,Southwest Minnesota CoC,124,110,14,30,19,11,94,91,3,10,7,3,5,2,3,5,5,0,2,0,2,3,3,0,0,0,0,3,3,0,10,10,0,0,0,0,10,10,0,8,8,0
MO-500,St. Louis County CoC,438,379,59,205,187,18,233,192,41,30,16,14,21,7,14,9,9,0,28,27,1,60,56,4,14,12,2,46,44,2,0,0,0,0,0,0,0,0,0,0,0,0
MO-501,St.Louis City CoC,"1,312","1,200",112,558,461,97,754,739,15,110,33,77,102,25,77,8,8,0,138,125,13,68,57,11,1,1,0,67,56,11,30,29,1,0,0,0,30,29,1,58,57,1
MO-503,"St. Charles, Lincoln, Warren Counties CoC",803,556,247,255,136,119,548,420,128,58,33,25,22,7,15,36,26,10,3,2,1,56,36,20,13,9,4,43,27,16,0,0,0,0,0,0,0,0,0,0,0,0
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",584,409,175,339,164,175,245,245,0,161,46,115,144,29,115,17,17,0,46,10,36,37,33,4,11,7,4,26,26,0,13,13,0,0,0,0,13,13,0,14,14,0
MO-602,"Joplin/Jasper, Newton Counties CoC",258,238,20,160,140,20,98,98,0,45,36,9,45,36,9,0,0,0,52,50,2,9,8,1,4,3,1,5,5,0,12,12,0,0,0,0,12,12,0,16,16,0
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",164,156,8,107,99,8,57,57,0,65,60,5,51,46,5,14,14,0,12,11,1,8,8,0,0,0,0,8,8,0,1,1,0,0,0,0,1,1,0,1,1,0
MO-604a,"Kansas City, Independence, Lee?s Summit/Jackson, Wyandotte Counties, MO & KS","1,686","1,530",156,"1,066",941,125,620,589,31,433,340,93,407,334,73,26,6,20,162,133,29,122,106,16,25,20,5,97,86,11,12,12,0,5,5,0,7,7,0,12,12,0
MO-606,Missouri Balance of State CoC,"1,477","1,148",329,874,618,256,603,530,73,168,111,57,124,75,49,44,36,8,139,107,32,129,103,26,35,33,2,94,70,24,41,37,4,2,2,0,39,35,4,72,65,7
MS-500,"Jackson/Rankin, Madison Counties CoC",762,426,336,624,288,336,138,138,0,104,18,86,104,18,86,0,0,0,69,21,48,41,24,17,20,20,0,21,4,17,0,0,0,0,0,0,0,0,0,0,0,0
MS-501,Mississippi Balance of State CoC,809,566,243,508,314,194,301,252,49,85,25,60,75,25,50,10,0,10,79,58,21,37,24,13,5,5,0,32,19,13,6,4,2,0,0,0,6,4,2,18,10,8
MS-503,Gulf Port/Gulf Coast Regional CoC,412,149,263,343,91,252,69,58,11,54,24,30,54,24,30,0,0,0,58,8,50,15,7,8,0,0,0,15,7,8,3,3,0,0,0,0,3,3,0,3,3,0
MT-500,Montana Statewide CoC,"1,709",837,872,"1,127",478,649,582,359,223,166,26,140,154,23,131,12,3,9,277,98,179,171,41,130,13,6,7,158,35,123,41,26,15,9,7,2,32,19,13,55,31,24
NC-500,Winston Salem/Forsyth County CoC,571,549,22,418,396,22,153,153,0,98,90,8,91,83,8,7,7,0,60,58,2,30,28,2,0,0,0,30,28,2,9,9,0,0,0,0,9,9,0,15,15,0
NC-501,Asheville/Buncombe County CoC,562,488,74,510,436,74,52,52,0,74,22,52,74,22,52,0,0,0,209,194,15,35,30,5,8,8,0,27,22,5,1,1,0,0,0,0,1,1,0,2,2,0
NC-502,Durham City & County CoC,813,769,44,656,612,44,157,157,0,59,47,12,53,41,12,6,6,0,138,133,5,33,33,0,0,0,0,33,33,0,13,13,0,0,0,0,13,13,0,23,23,0
NC-503,North Carolina Balance of State CoC,"3,021","2,361",660,"1,922","1,372",550,"1,099",989,110,360,176,184,310,145,165,50,31,19,137,99,38,198,131,67,25,9,16,173,122,51,44,43,1,0,0,0,44,43,1,65,63,2
NC-504,Greensboro/High Point CoC,665,551,114,512,398,114,153,153,0,78,31,47,75,28,47,3,3,0,81,72,9,53,48,5,9,9,0,44,39,5,8,8,0,0,0,0,8,8,0,10,10,0
NC-505,Charlotte/Mecklenberg CoC,"2,001","1,821",180,"1,243","1,063",180,758,758,0,280,169,111,257,146,111,23,23,0,185,160,25,85,75,10,12,12,0,73,63,10,0,0,0,0,0,0,0,0,0,0,0,0
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",390,269,121,299,200,99,91,69,22,80,36,44,77,36,41,3,0,3,54,39,15,29,20,9,8,8,0,21,12,9,1,1,0,0,0,0,1,1,0,1,1,0
NC-507,Raleigh/Wake County CoC,904,756,148,616,471,145,288,285,3,90,48,42,85,43,42,5,5,0,123,101,22,61,55,6,3,3,0,58,52,6,8,8,0,0,0,0,8,8,0,9,9,0
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",281,244,37,215,182,33,66,62,4,64,42,22,58,40,18,6,2,4,23,20,3,39,38,1,14,14,0,25,24,1,3,3,0,0,0,0,3,3,0,3,3,0
NC-511,Fayetteville/Cumberland County CoC,593,227,366,447,91,356,146,136,10,131,4,127,123,4,119,8,0,8,58,14,44,45,5,40,0,0,0,45,5,40,2,2,0,2,2,0,0,0,0,1,1,0
NC-513,Chapel Hill/Orange County CoC,129,109,20,101,81,20,28,28,0,25,12,13,25,12,13,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
