,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
NC,8002,6623,5256,65.68%,5881,2121,0,850,3302,4626,74,451,131,5881,4601,3683,62.63%,635,159,596,2419,3399,63,43,63,2121,2022,1573,74.16%,254,883,1227,11,408,68,0,0,0,.,0,0,0,0,0,0,2415,2265,2225,92.13%,591,1967,448,0,209,13,6624,6616,4928,74.40%,842,2798,3826,0,2413,7,3789,252,252,252,100.00%,77,202,50,0,50,0
ND,1034,702,690,66.73%,896,138,0,191,433,593,8,44,49,896,636,632,70.54%,25,36,168,370,518,8,8,49,138,66,58,42.03%,23,63,75,0,36,0,0,0,0,.,0,0,0,0,0,0,71,71,71,100.00%,0,0,71,0,71,0,630,603,603,95.71%,73,132,498,0,202,0,72,0,0,0,.,0,0,0,0,0,0
NE,2569,2347,1694,65.94%,1576,993,0,337,1109,1440,20,105,93,1576,1391,998,63.32%,0,345,158,555,1005,16,22,16,993,956,696,70.09%,179,554,435,4,83,77,0,0,0,.,0,0,0,0,0,0,621,556,556,89.53%,119,384,237,0,144,59,1105,1105,660,59.73%,141,337,768,0,447,49,727,280,280,110,39.29%,30,74,206,0,50,0
NH,1383,1209,1098,79.39%,807,567,9,288,794,573,16,113,62,807,659,597,73.98%,112,68,133,388,403,16,0,16,567,541,492,86.77%,155,406,161,0,112,46,9,9,9,100.00%,0,0,9,0,1,0,228,228,225,98.68%,57,171,57,0,34,8,1125,1125,695,61.78%,166,531,594,0,404,5,239,78,78,78,100.00%,17,47,31,0,0,0
NJ,7001,6115,5634,80.47%,4766,2215,20,1351,3552,3369,80,377,331,4766,4188,3814,80.03%,275,1885,951,2391,2307,68,33,183,2215,1907,1800,81.26%,400,1161,1042,12,344,148,20,20,20,100.00%,0,0,20,0,0,0,1438,1438,1404,97.64%,343,1015,423,0,290,42,6600,6531,5284,80.06%,947,2515,4077,8,1400,234,2191,296,296,285,96.28%,25,70,226,0,0,0
NM,1674,1147,678,40.50%,1112,562,0,197,776,775,123,147,143,1112,644,355,31.92%,396,86,120,512,520,80,64,80,562,503,323,57.47%,77,264,255,43,83,63,0,0,0,.,0,0,0,0,0,0,800,572,572,71.50%,240,662,138,0,207,10,2634,2528,1408,53.45%,458,1149,1485,0,500,0,1058,0,0,0,.,0,0,0,0,0,0
NV,3331,2999,2561,76.88%,1994,1312,25,283,757,2526,48,509,192,1994,1741,1475,73.97%,323,391,168,499,1459,36,113,73,1312,1233,1061,80.87%,115,258,1042,12,396,119,25,25,25,100.00%,0,0,25,0,0,0,698,698,684,97.99%,167,488,210,0,179,106,3201,3201,2153,67.26%,260,809,2390,2,1994,45,1735,0,0,0,.,0,0,0,0,0,0
NY,87836,84036,81126,92.36%,81468,6276,92,17280,55035,32621,180,907,1119,81468,77965,76549,93.96%,373,2550,16618,53180,28146,142,289,413,6276,5988,4494,71.61%,662,1855,4383,38,563,706,92,83,83,90.22%,0,0,92,0,55,0,5172,4957,4842,93.62%,929,2840,2332,0,2753,43,41577,41183,28273,68.00%,4042,11120,30457,0,7282,547,18591,517,511,184,35.59%,122,365,152,0,0,16
OH,9420,8104,6915,73.41%,7069,2287,64,1218,3810,5508,102,662,368,7069,6057,5037,71.25%,523,493,869,2826,4172,71,124,162,2287,1983,1826,79.84%,349,984,1272,31,516,206,64,64,52,81.25%,0,0,64,0,22,0,4131,3953,3920,94.89%,938,3250,881,0,606,171,16770,16701,14441,86.11%,2283,6064,10706,0,2849,231,7154,30,30,24,80.00%,6,6,24,0,20,0
OK,3678,2901,2132,57.97%,2829,824,25,374,1364,2210,104,139,347,2829,2138,1581,55.89%,56,136,257,984,1741,104,58,203,824,738,526,63.83%,117,380,444,0,81,144,25,25,25,100.00%,0,0,25,0,0,0,345,302,302,87.54%,43,141,204,0,203,10,1679,1660,1077,64.15%,142,382,1292,5,860,66,678,10,10,0,0.00%,1,3,7,0,0,0
OR,6648,6081,3959,59.55%,4107,2531,10,818,2246,4292,110,333,415,4107,3671,2354,57.32%,368,110,440,1246,2783,78,40,197,2531,2400,1595,63.02%,378,1000,1499,32,293,218,10,10,10,100.00%,0,0,10,0,0,0,3267,3058,3048,93.30%,637,2253,1013,1,583,85,7232,7170,5688,78.65%,1025,2865,4367,0,1947,51,2476,145,145,136,93.79%,37,115,30,0,1,0
