,"Total Beds (ES,TH,SH)",,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Rapid ReHousing (RRH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES,TH,RRH,SH)","Total Non-DV Year-Round Beds (ES,TH,RRH,SH)","Total HMIS Year-Round Beds (ES,TH,RRH,SH)","HMIS Participation Rate (ES,TH,RRH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Rapid Rehousing (RRH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH,RRH)","Total Beds for Households with Children (ES,TH,RRH)","Total Beds for Households without Children (ES,TH,RRH,SH)","Total Beds for Households with only Children (ES,TH,RRH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total RRH Beds,Total Year-Round RRH Beds,Total Non-DV Year-Round RRH Beds,Total HMIS Year-Round RRH Beds,RRH HMIS Participation Rate,Total RRH Units for Households with Children,Total RRH Beds for Households with Children,Total RRH Beds for Households without Children,Total RRH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
CA-605,247,205,161,78.50%,27,210,0,10,51,192,55,0,27,0,0,0.00%,111,0,5,20,7,0,210,210,195,151,77.40%,46,172,38,0,0,0,0,0,0.00%,0,0,0,0,10,10,10,10,100.00%,10,0,308,308,308,191,62.00%,82,11,40,268,0
CA-606,1078,901,628,69.70%,350,640,63,25,111,446,632,0,350,284,113,39.80%,130,0,33,152,198,0,640,640,529,427,80.70%,68,258,382,0,63,63,63,63,100.00%,10,36,27,0,25,25,25,25,100.00%,25,0,871,871,871,710,81.50%,204,73,218,653,0
CA-607,254,218,187,85.80%,126,128,0,0,36,149,105,0,126,90,90,100.00%,242,8,8,80,46,0,128,128,128,97,75.80%,28,69,59,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,189,189,189,184,97.40%,98,10,32,157,0
CA-608,1414,1240,1240,100.00%,651,763,0,0,214,718,659,37,651,531,531,100.00%,72,43,70,214,400,37,763,763,709,709,100.00%,144,504,259,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,729,729,729,670,91.90%,214,110,241,488,0
CA-609,1092,803,634,79.00%,387,705,0,0,245,814,266,12,387,255,162,63.50%,65,192,55,222,153,12,705,705,548,472,86.10%,190,592,113,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,454,454,454,437,96.30%,67,70,150,304,0
CA-611,206,206,51,24.80%,99,107,0,0,31,114,92,0,99,99,17,17.20%,105,0,6,61,38,0,107,107,107,34,31.80%,25,53,54,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,59,59,59,34,57.60%,13,0,0,59,0
CA-612,142,132,132,100.00%,50,92,0,0,31,130,12,0,50,40,40,100.00%,80,0,2,38,12,0,92,92,92,92,100.00%,29,92,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,96,96,96,93,96.90%,32,6,24,72,0
CA-613,189,189,169,89.40%,112,77,0,0,81,134,55,0,112,112,112,100.00%,0,0,57,57,55,0,77,77,77,57,74.00%,24,77,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
CA-614,215,145,115,79.30%,144,71,0,0,26,98,117,0,144,108,82,75.90%,12,38,16,65,79,0,71,71,37,33,89.20%,10,33,38,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,132,132,132,32,24.20%,21,11,13,119,0
CO-500,1760,1312,785,59.80%,998,744,18,0,342,1183,555,22,998,696,411,59.10%,239,73,176,585,391,22,744,744,598,374,62.50%,158,590,154,0,18,18,18,0,0.00%,8,8,10,0,0,0,0,0,0.00%,0,0,615,615,615,229,37.20%,68,95,138,477,0
CO-503,4967,4731,4326,91.40%,1791,3124,27,25,955,2566,2111,290,1791,1567,1320,84.20%,451,331,265,710,1050,31,3124,3124,3112,2954,94.90%,688,1851,1014,259,27,27,27,27,100.00%,2,5,22,0,25,25,25,25,100.00%,25,0,1965,1965,1965,1899,96.60%,845,126,318,1647,0
CO-504,1017,985,911,92.50%,364,490,163,0,122,444,573,0,364,332,319,96.10%,0,162,30,136,228,0,490,490,490,429,87.60%,82,267,223,0,163,163,163,163,100.00%,10,41,122,0,0,0,0,0,0.00%,0,0,416,416,416,227,54.60%,148,44,170,246,0
CT-501,540,540,446,82.60%,342,198,0,0,76,248,288,4,342,342,267,78.10%,87,19,45,154,184,4,198,198,198,179,90.40%,31,94,104,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,976,976,976,723,74.10%,276,114,348,628,0
CT-502,646,626,578,92.30%,294,352,0,0,72,219,427,0,294,274,274,100.00%,120,3,27,84,210,0,352,352,352,304,86.40%,45,135,217,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,815,815,815,641,78.70%,526,87,240,575,0
CT-503,426,402,378,94.00%,209,193,24,0,66,224,202,0,209,194,194,100.00%,0,18,33,115,94,0,193,193,184,160,87.00%,24,85,108,0,24,24,24,24,100.00%,9,24,0,0,0,0,0,0,0.00%,0,0,1057,1057,1051,1051,100.00%,270,216,607,450,0
CT-505,1456,1229,1164,94.70%,853,452,151,0,240,710,746,0,853,691,670,97.00%,144,74,122,384,469,0,452,452,387,343,88.60%,69,192,260,0,151,151,151,151,100.00%,49,134,17,0,0,0,0,0,0.00%,0,0,2120,2120,2054,1683,81.90%,735,318,963,1157,0
CT-506,123,110,110,100.00%,123,0,0,0,13,45,78,0,123,110,110,100.00%,0,9,13,45,78,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,222,222,222,211,95.00%,111,30,70,152,0
CT-508,262,247,224,90.70%,173,89,0,0,44,94,158,10,173,158,148,93.70%,0,10,16,31,132,10,89,89,89,76,85.40%,28,63,26,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,174,174,174,174,100.00%,34,9,28,146,0
