,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
OH,"11,693","10,557","9,107",86.30%,"6,097","5,500",96,"1,888","5,471","6,222","6,097","5,295","4,467",84.40%,253,539,832,"2,372","3,725","5,500","5,500","5,166","4,544",88.00%,"1,056","3,099","2,401",96,96,96,96,100.00%,96,"11,834","11,834","11,834","10,191",86.10%,"3,032","1,591","4,163","7,671"
OK,"3,632","2,938","1,998",68.00%,"2,531","1,042",59,614,"1,540","2,092","2,531","1,957","1,231",62.90%,0,295,400,978,"1,553","1,042","1,042",922,717,77.80%,214,562,480,59,59,59,50,84.70%,59,846,846,816,580,71.10%,331,63,185,661
OR,"7,377","6,615","3,828",57.90%,"2,724","4,610",43,"1,389","3,833","3,544","2,724","2,279",602,26.40%,297,581,377,"1,044","1,680","4,610","4,610","4,293","3,183",74.10%,"1,012","2,789","1,821",43,43,43,43,100.00%,43,"4,920","4,920","4,914","2,945",59.90%,"1,036",541,"1,546","3,374"
PA,"16,363","14,455","11,950",82.70%,"8,148","8,042",173,"2,853","9,156","7,207","8,148","7,012","5,452",77.80%,744,371,"1,114","3,688","4,460","8,042","8,042","7,270","6,325",87.00%,"1,739","5,468","2,574",173,173,173,173,100.00%,173,"9,895","9,895","9,808","8,483",86.50%,"1,725","1,574","5,031","4,864"
PR,"2,053","1,628","1,573",96.60%,618,"1,358",77,171,514,"1,539",618,403,394,97.80%,0,0,36,154,464,"1,358","1,358","1,148","1,111",96.80%,135,360,998,77,77,77,68,88.30%,77,"1,068","1,068","1,068",793,74.30%,423,151,326,742
RI,"1,300","1,170",998,85.30%,767,515,18,270,662,638,767,657,577,87.80%,117,23,138,345,422,515,515,495,404,81.60%,132,317,198,18,18,18,17,94.40%,18,"1,731","1,731","1,731","1,291",74.60%,294,201,652,"1,079"
SC,"3,791","3,295","2,463",74.70%,"1,687","2,092",12,423,"1,580","2,211","1,687","1,234",937,75.90%,458,396,147,713,974,"2,092","2,092","2,049","1,514",73.90%,276,867,"1,225",12,12,12,12,100.00%,12,"1,478","1,478","1,391","1,128",81.10%,275,191,632,846
SD,"1,319",947,307,32.40%,718,601,0,257,713,606,718,346,164,47.40%,0,42,162,451,267,601,601,601,143,23.80%,95,262,339,0,0,0,0,0.00%,0,281,281,281,245,87.20%,121,49,133,148
TN,"6,746","5,957","3,544",59.50%,"3,159","3,563",24,762,"2,405","4,341","3,159","2,615","1,409",53.90%,295,530,348,"1,050","2,109","3,563","3,563","3,318","2,111",63.60%,414,"1,355","2,208",24,24,24,24,100.00%,24,"3,721","3,721","3,627","2,711",74.70%,"1,060",583,"1,402","2,319"
TX,"24,323","19,918","13,434",67.40%,"13,235","10,902",186,"3,409","10,874","13,449","13,235","10,371","7,034",67.80%,183,"1,024","1,538","5,217","8,018","10,902","10,902","9,361","6,230",66.60%,"1,871","5,657","5,245",186,186,186,170,91.40%,186,"9,055","9,055","8,849","5,836",66.00%,"2,592","1,206","3,654","5,401"
UT,"2,954","2,124","1,749",82.30%,"1,501","1,404",49,448,"1,608","1,346","1,501","1,045",839,80.30%,562,181,189,703,798,"1,404","1,404","1,030",861,83.60%,259,905,499,49,49,49,49,100.00%,49,"1,593","1,593","1,593","1,422",89.30%,567,179,599,994
VA,"7,690","6,506","4,854",74.60%,"3,734","3,899",57,"1,351","4,511","3,179","3,734","2,922","2,058",70.40%,"1,062",500,603,"1,893","1,841","3,899","3,899","3,527","2,739",77.70%,748,"2,618","1,281",57,57,57,57,100.00%,57,"2,759","2,759","2,697","1,724",63.90%,783,301,891,"1,868"
VI,195,141,141,100.00%,71,124,0,34,72,123,71,37,37,100.00%,0,0,12,44,27,124,124,104,104,100.00%,22,28,96,0,0,0,0,0.00%,0,52,52,52,35,67.30%,14,17,26,26
VT,805,609,424,69.60%,454,345,6,170,469,336,454,349,264,75.60%,51,17,93,257,197,345,345,254,154,60.60%,77,212,133,6,6,6,6,100.00%,6,493,493,493,375,76.10%,159,39,104,389
WA,"16,669","14,875","12,051",81.00%,"6,269","10,345",55,"3,350","10,690","5,979","6,269","5,395","4,209",78.00%,762,456,824,"2,812","3,457","10,345","10,345","9,425","7,787",82.60%,"2,526","7,878","2,467",55,55,55,55,100.00%,55,"8,599","8,599","8,562","6,098",71.20%,"2,699",801,"2,475","6,124"
WI,"6,692","5,319","4,763",89.50%,"3,324","3,304",64,"1,335","4,029","2,663","3,324","2,425","2,134",88.00%,183,368,586,"1,793","1,531","3,304","3,304","2,830","2,565",90.60%,749,"2,236","1,068",64,64,64,64,100.00%,64,"2,516","2,516","2,511","2,185",87.00%,203,256,873,"1,643"
WV,"1,878","1,571","1,114",70.90%,"1,204",663,11,238,740,"1,138","1,204","1,001",697,69.60%,56,71,120,379,825,663,663,559,406,72.60%,118,361,302,11,11,11,11,100.00%,11,815,815,815,661,81.10%,254,62,168,647
WY,753,521,375,72.00%,514,239,0,141,368,385,514,324,228,70.40%,0,31,90,233,281,239,239,197,147,74.60%,51,135,104,0,0,0,0,0.00%,0,127,127,127,14,11.00%,14,0,0,127
Total,"429,835","375,613","292,160",,"225,840","201,879","2,116","70,789","221,083","208,752","225,840","190,684","150,555",,"18,952","32,567","34,987","110,703","115,137","201,879","201,879","182,822","139,561",,"35,802","110,380","91,499","2,116","2,116","2,107","2,044",,"2,116","267,106","267,106","264,945","183,682",,"67,964","37,213","105,981","161,125"
