,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
VA-500,668,615,564,84.43%,354,298,16,44,157,511,0,53,0,354,314,301,85.03%,0,90,37,140,214,0,0,0,298,285,247,82.89%,7,17,281,0,43,0,16,16,16,100.00%,0,0,16,0,10,0,472,414,414,87.71%,101,339,133,0,48,13,680,680,320,47.06%,82,269,411,0,368,0,508,132,132,132,100.00%,8,25,107,0,0,0
VA-501,597,505,173,28.98%,442,155,0,45,163,434,0,12,12,442,377,87,19.68%,234,0,28,102,340,0,7,0,155,128,86,55.48%,17,61,94,0,5,12,0,0,0,.,0,0,0,0,0,0,509,471,471,92.53%,112,409,100,0,75,0,662,662,379,57.25%,83,322,340,0,283,0,165,148,148,120,81.08%,0,0,148,0,0,0
VA-502,490,412,402,82.04%,490,0,0,26,161,329,0,15,0,490,412,402,82.04%,0,2,26,161,329,0,15,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,92,92,92,100.00%,13,41,51,0,57,2,229,229,124,54.15%,29,91,138,0,115,0,93,0,0,0,.,0,0,0,0,0,0
VA-503,248,207,206,83.06%,112,136,0,40,153,74,21,16,21,112,71,71,63.39%,64,8,8,41,50,21,0,21,136,136,135,99.26%,32,112,24,0,16,0,0,0,0,.,0,0,0,0,0,0,70,50,50,71.43%,8,20,50,0,14,0,314,314,314,100.00%,3,7,307,0,127,0,80,109,109,109,100.00%,4,7,102,0,51,0
VA-504,109,82,24,22.02%,87,22,0,14,39,66,4,0,4,87,62,4,4.60%,65,0,9,17,66,4,0,4,22,20,20,90.91%,5,22,0,0,0,0,0,0,0,.,0,0,0,0,0,0,22,22,22,100.00%,2,4,18,0,0,0,67,67,67,100.00%,0,0,67,0,0,0,67,0,0,0,.,0,0,0,0,0,0
VA-505,388,295,193,49.74%,262,103,23,60,206,182,0,40,0,262,191,107,40.84%,205,0,38,139,123,0,12,0,103,81,63,61.17%,22,67,36,0,28,0,23,23,23,100.00%,0,0,23,0,0,0,250,223,200,80.00%,55,195,55,0,0,0,754,754,191,25.33%,58,243,511,0,563,0,112,133,133,88,66.17%,11,31,102,0,0,0
VA-507,84,54,48,57.14%,55,29,0,22,58,26,0,2,0,55,25,25,45.45%,40,0,18,47,8,0,0,0,29,29,23,79.31%,4,11,18,0,2,0,0,0,0,.,0,0,0,0,0,0,26,0,0,0.00%,9,24,2,0,0,0,95,95,95,100.00%,10,30,65,0,2,0,86,60,60,60,100.00%,0,0,60,0,0,0
VA-508,172,124,124,72.09%,146,26,0,23,77,95,0,0,0,146,98,98,67.12%,0,0,17,60,86,0,0,0,26,26,26,100.00%,6,17,9,0,0,0,0,0,0,.,0,0,0,0,0,0,76,76,58,76.32%,15,55,21,0,25,0,50,50,44,88.00%,9,24,26,0,6,0,0,10,10,0,0.00%,2,5,5,0,0,0
VA-513,307,239,137,44.63%,297,10,0,39,143,164,0,0,0,297,229,137,46.13%,75,8,39,143,154,0,0,0,10,10,0,0.00%,0,0,10,0,0,0,0,0,0,.,0,0,0,0,0,0,70,48,48,68.57%,11,45,25,0,5,0,73,73,73,100.00%,4,9,64,0,15,0,33,0,0,0,.,0,0,0,0,0,0
VA-514,163,126,126,77.30%,163,0,0,30,98,65,0,0,0,163,126,126,77.30%,37,13,30,98,65,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,154,101,101,65.58%,31,109,45,0,8,0,118,118,43,36.44%,17,46,72,0,75,0,43,0,0,0,.,0,0,0,0,0,0
VA-521,765,520,270,35.29%,586,179,0,114,479,286,0,24,24,586,369,263,44.88%,114,8,66,313,273,0,24,24,179,151,7,3.91%,48,166,13,0,0,0,0,0,0,.,0,0,0,0,0,0,511,480,480,93.93%,137,423,88,0,40,0,38,38,35,92.11%,0,0,38,0,2,0,21,0,0,0,.,0,0,0,0,0,0
VA-600,214,198,198,92.52%,188,20,6,24,95,119,0,0,0,188,172,172,91.49%,25,5,23,87,101,0,0,0,20,20,20,100.00%,1,8,12,0,0,0,6,6,6,100.00%,0,0,6,0,0,0,169,169,168,99.41%,48,147,22,0,0,0,215,215,215,100.00%,15,42,173,0,0,0,132,0,0,0,.,0,0,0,0,0,0
VA-601,760,597,597,78.55%,504,256,0,163,563,189,8,0,65,504,424,424,84.13%,167,77,94,338,158,8,0,8,256,173,173,67.58%,69,225,31,0,0,57,0,0,0,.,0,0,0,0,0,0,210,182,169,80.48%,39,137,73,0,19,4,693,693,575,82.97%,54,200,493,0,118,0,295,308,308,249,80.84%,80,270,38,0,0,0
VA-602,94,82,82,87.23%,64,30,0,26,75,19,0,1,0,64,52,52,81.25%,16,0,22,49,15,0,1,0,30,30,30,100.00%,4,26,4,0,0,0,0,0,0,.,0,0,0,0,0,0,26,26,26,100.00%,6,18,8,0,0,0,21,21,21,100.00%,3,8,13,0,0,0,21,0,0,0,.,0,0,0,0,0,0
VA-603,213,192,192,90.14%,145,56,12,32,106,107,0,0,0,145,124,124,85.52%,67,0,20,68,77,0,0,0,56,56,56,100.00%,12,38,18,0,0,0,12,12,12,100.00%,0,0,12,0,0,0,106,106,102,96.23%,34,81,25,0,2,0,47,47,47,100.00%,3,8,39,0,0,0,13,7,7,3,42.86%,0,0,7,0,3,0
VA-604,356,320,320,89.89%,214,142,0,65,256,100,0,0,0,214,178,178,83.18%,0,1,25,120,94,0,0,0,142,142,142,100.00%,40,136,6,0,0,0,0,0,0,.,0,0,0,0,0,0,77,77,77,100.00%,16,55,22,0,27,0,132,132,132,100.00%,20,83,49,0,92,0,13,5,5,5,100.00%,0,0,5,0,0,0
VI-500,132,100,87,65.91%,83,49,0,16,43,89,0,0,0,83,56,43,51.81%,0,0,11,38,45,0,0,0,49,44,44,89.80%,5,5,44,0,0,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,0,0,29,0,4,0,69,69,69,100.00%,25,25,44,0,22,0,12,0,0,0,.,0,0,0,0,0,0
VT-500,671,557,449,66.92%,429,238,4,101,318,353,0,59,69,429,336,296,69.00%,100,232,65,215,214,0,4,15,238,217,149,62.61%,36,103,135,0,55,54,4,4,4,100.00%,0,0,4,0,0,0,588,588,205,34.86%,176,543,45,0,15,0,444,444,255,57.43%,26,80,364,0,189,0,234,0,0,0,.,0,0,0,0,0,0
VT-501,290,252,23,7.93%,220,70,0,45,124,166,0,27,16,220,204,8,3.64%,35,24,40,113,107,0,1,8,70,48,15,21.43%,5,11,59,0,26,8,0,0,0,.,0,0,0,0,0,0,115,115,16,13.91%,36,105,10,0,8,0,165,165,82,49.70%,2,8,157,0,48,0,120,0,0,0,.,0,0,0,0,0,0
WA-500,6445,5771,4474,69.42%,3498,2902,45,972,3203,3188,54,340,534,3498,3267,2592,74.10%,390,126,427,1254,2200,44,57,210,2902,2459,1837,63.30%,545,1949,943,10,283,324,45,45,45,100.00%,0,0,45,0,0,0,781,769,769,98.46%,156,541,240,0,117,83,5469,5469,4413,80.69%,398,1285,4184,0,1283,61,2413,2086,2028,1983,95.06%,410,1526,540,20,25,147
WA-501,4216,3599,2714,64.37%,2567,1649,0,904,2513,1636,67,141,256,2567,2039,1536,59.84%,246,42,460,1301,1219,47,29,112,1649,1560,1178,71.44%,444,1212,417,20,112,144,0,0,0,.,0,0,0,0,0,0,3188,3088,2492,78.17%,644,1596,1592,0,336,41,2203,2030,1664,75.53%,367,947,1256,0,234,0,555,164,164,82,50.00%,30,64,100,0,49,0
WA-502,1068,1013,598,55.99%,709,359,0,123,453,581,34,46,86,709,654,315,44.43%,0,166,49,237,438,34,0,34,359,359,283,78.83%,74,216,143,0,46,52,0,0,0,.,0,0,0,0,0,0,636,636,632,99.37%,130,433,203,0,117,2,835,835,279,33.41%,85,260,575,0,444,0,324,125,125,35,28.00%,20,61,64,0,0,0
WA-503,900,824,814,90.44%,604,296,0,177,538,362,0,25,3,604,528,518,85.76%,0,66,85,270,334,0,10,0,296,296,296,100.00%,92,268,28,0,15,3,0,0,0,.,0,0,0,0,0,0,591,546,546,92.39%,171,348,243,0,152,60,785,785,505,64.33%,74,178,607,0,295,2,775,45,45,45,100.00%,12,25,20,0,0,0
WA-504,581,513,489,84.17%,476,105,0,72,256,289,36,6,48,476,424,424,89.08%,106,42,62,226,237,13,6,13,105,89,65,61.90%,10,30,52,23,0,35,0,0,0,.,0,0,0,0,0,0,237,206,206,86.92%,40,134,103,0,27,9,1456,1456,1127,77.40%,262,910,546,0,322,0,396,566,508,479,84.63%,171,521,45,0,0,58
WA-507,629,506,257,40.86%,399,230,0,146,427,195,7,11,7,399,332,151,37.84%,107,3,70,228,171,0,0,0,230,174,106,46.09%,76,199,24,7,11,7,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,332,332,155,46.69%,50,188,144,0,127,0,34,40,40,0,0.00%,0,0,40,0,20,0
WA-508,449,426,418,93.10%,175,274,0,103,304,128,17,0,25,175,152,152,86.86%,77,38,27,94,64,17,0,17,274,274,266,97.08%,76,210,64,0,0,8,0,0,0,.,0,0,0,0,0,0,473,473,473,100.00%,122,365,108,0,0,27,424,424,384,90.57%,16,52,372,0,219,13,424,0,0,0,.,0,0,0,0,0,0
WI-500,3592,2486,2143,59.66%,2118,1467,7,770,2420,1161,11,122,103,2118,1352,1159,54.72%,346,286,396,1299,808,11,2,33,1467,1127,977,66.60%,374,1121,346,0,120,70,7,7,7,100.00%,0,0,7,0,0,0,709,690,690,97.32%,152,529,180,0,75,0,641,641,506,78.94%,78,255,386,0,290,0,278,68,68,23,33.82%,4,15,53,0,0,0
WI-501,1106,1022,1007,91.05%,763,273,70,119,363,715,28,109,80,763,689,674,88.34%,0,0,94,307,428,28,0,28,273,263,263,96.34%,25,56,217,0,109,52,70,70,70,100.00%,0,0,70,0,0,0,420,420,420,100.00%,114,394,26,0,6,0,1662,1662,1662,100.00%,128,347,1315,0,549,0,290,0,0,0,.,0,0,0,0,0,0
WI-502,258,196,196,75.97%,194,64,0,22,99,151,8,32,8,194,164,164,84.54%,51,0,18,71,115,8,0,8,64,32,32,50.00%,4,28,36,0,32,0,0,0,0,.,0,0,0,0,0,0,50,50,50,100.00%,5,22,28,0,12,4,110,101,66,60.00%,10,30,80,0,47,0,39,8,8,8,100.00%,0,0,8,0,8,0
WI-503,569,493,458,80.49%,347,208,14,131,282,278,9,31,17,347,286,283,81.56%,35,2,85,164,174,9,0,9,208,193,161,77.40%,46,118,90,0,31,8,14,14,14,100.00%,0,0,14,0,0,0,188,188,188,100.00%,50,169,19,0,12,8,852,852,692,81.22%,103,362,490,0,185,0,216,384,384,384,100.00%,38,122,262,0,6,0
WV-500,108,75,59,54.63%,68,40,0,25,58,50,0,0,0,68,52,46,67.65%,16,17,12,28,40,0,0,0,40,23,13,32.50%,13,30,10,0,0,0,0,0,0,.,0,0,0,0,0,0,20,20,20,100.00%,0,0,20,0,10,0,18,18,18,100.00%,0,0,18,0,0,0,16,0,0,0,.,0,0,0,0,0,0
WV-501,263,241,228,86.69%,196,54,13,37,125,138,0,13,0,196,174,161,82.14%,0,0,21,71,125,0,13,0,54,54,54,100.00%,16,54,0,0,0,0,13,13,13,100.00%,0,0,13,0,0,0,48,48,41,85.42%,3,7,41,0,10,0,384,384,374,97.40%,61,147,237,0,100,0,99,115,115,115,100.00%,0,0,115,0,0,0
WV-503,347,330,176,50.72%,281,66,0,27,71,266,10,22,10,281,264,140,49.82%,0,25,27,71,205,5,0,5,66,66,36,54.55%,0,0,61,5,22,5,0,0,0,.,0,0,0,0,0,0,26,26,26,100.00%,2,5,21,0,4,0,165,162,158,95.76%,5,10,155,0,62,0,83,0,0,0,.,0,0,0,0,0,0
WV-508,939,688,590,62.83%,793,146,0,121,397,542,0,81,0,793,542,463,58.39%,24,14,112,383,410,0,24,0,146,146,127,86.99%,9,14,132,0,57,0,0,0,0,.,0,0,0,0,0,0,168,168,168,100.00%,15,56,112,0,69,0,672,672,338,50.30%,105,279,393,0,355,9,436,215,215,215,100.00%,26,78,137,0,0,0
WY-500,698,637,503,72.06%,361,337,0,117,306,367,25,32,31,361,320,258,71.47%,20,0,70,135,215,11,14,11,337,317,245,72.70%,47,171,152,14,18,20,0,0,0,.,0,0,0,0,0,0,25,25,25,100.00%,0,0,25,0,25,0,285,285,56,19.65%,36,83,202,0,229,0,41,0,0,0,.,0,0,0,0,0,0
Total,399439,351168,290151,72.64%,277537,120249,1653,62633,201286,194291,3862,20751,16225,277537,242143,204472,73.67%,19833,15591,42797,141350,133344,2843,4756,6140,120249,107406,84225,70.04%,19836,59936,59294,1019,15681,10077,1653,1619,1454,87.96%,0,0,1653,0,314,8,93718,89537,84512,90.18%,22403,68789,24893,36,18281,2323,353800,351200,258680,73.11%,44393,126186,227523,91,100652,4117,149005,52102,51463,25395,48.74%,10296,34080,17969,53,1857,627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
