,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
FL-512,186,112,82,73.20%,105,81,47,82,104,105,52,28,53.80%,0,25,5,13,92,81,81,60,54,90.00%,42,69,12,73,73,73,0,0.00%,0,0,0,73
FL-513,634,569,396,69.60%,132,502,71,274,360,132,116,49,42.20%,0,84,7,24,108,502,502,453,347,76.60%,64,250,252,112,112,112,112,100.00%,43,36,69,43
FL-514,462,394,251,63.70%,210,252,40,149,313,210,142,112,78.90%,0,3,6,25,185,252,252,252,139,55.20%,34,124,128,8,8,8,8,100.00%,0,0,0,8
FL-515,246,215,246,114.40%,58,188,25,103,143,58,58,58,100.00%,0,0,2,7,51,188,188,157,188,119.70%,23,96,92,0,0,0,0,0.00%,0,0,0,0
FL-517,96,40,15,37.50%,56,40,9,25,71,56,0,0,0.00%,0,0,3,9,47,40,40,40,15,37.50%,6,16,24,124,124,124,16,12.90%,28,17,46,78
FL-518,122,71,122,171.80%,98,24,0,0,122,98,55,98,178.20%,0,0,0,0,98,24,24,16,24,150.00%,0,0,24,11,11,11,11,100.00%,0,0,0,11
FL-519,174,114,114,100.00%,174,0,20,62,112,174,114,114,100.00%,0,4,20,62,112,0,0,0,0,0.00%,0,0,0,30,30,30,30,100.00%,0,10,30,0
FL-520,283,187,148,79.10%,125,158,27,94,189,125,39,23,59.00%,30,"1,212",19,73,52,158,158,148,125,84.50%,8,21,137,59,59,59,59,100.00%,6,0,0,59
FL-600,"3,233","2,783","2,268",81.50%,"1,402","1,831",417,"1,516","1,717","1,402","1,313",875,66.60%,0,224,138,616,786,"1,831","1,831","1,470","1,393",94.80%,279,900,931,"2,263","2,263","2,263","2,249",99.40%,413,415,"1,255","1,008"
FL-601,"2,602","2,540","1,589",62.60%,797,"1,805",181,663,"1,939",797,735,623,84.80%,0,110,49,214,583,"1,805","1,805","1,805",966,53.50%,132,449,"1,356","1,795","1,795","1,291","1,094",84.70%,195,381,"1,329",466
FL-602,142,123,107,87.00%,62,80,24,54,88,62,56,40,71.40%,0,2,4,10,52,80,80,67,67,100.00%,20,44,36,80,80,80,80,100.00%,36,18,36,44
