,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
OH-502,"2,164","2,119","1,657",78.20%,960,"1,184",20,216,614,"1,542",8,960,915,697,76.20%,0,19,100,276,676,8,"1,184","1,184","1,184",940,79.40%,116,338,846,0,20,20,20,20,100.00%,20,0,"3,649","3,649","3,649","3,086",84.60%,"1,263",616,"1,597","2,052",0
OH-503,952,918,902,98.30%,759,193,0,94,279,652,21,759,725,709,97.80%,222,46,64,192,551,16,193,193,193,193,100.00%,30,87,101,5,0,0,0,0,0.00%,0,0,"2,021","2,021","2,021","1,844",91.20%,483,166,503,"1,518",0
OH-504,276,252,252,100.00%,178,97,1,48,155,111,10,178,154,154,100.00%,0,0,27,89,79,10,97,97,97,97,100.00%,21,66,31,0,1,1,1,1,100.00%,1,0,279,279,279,279,100.00%,69,63,196,83,0
OH-505,962,905,679,75.00%,480,457,25,183,493,469,0,480,430,405,94.20%,0,60,74,184,296,0,457,457,450,249,55.30%,109,309,148,.,25,25,25,25,100.00%,25,0,892,892,892,892,100.00%,167,131,317,575,0
OH-506,659,551,489,88.70%,313,336,10,96,300,333,26,313,255,255,100.00%,0,33,41,134,158,21,336,336,286,224,78.30%,55,166,165,5,10,10,10,10,100.00%,10,0,418,418,418,308,73.70%,142,33,81,337,0
OH-507,"4,543","3,835","3,299",86.00%,"2,094","2,439",10,945,"2,883","1,640",20,"2,094","1,513","1,198",79.20%,140,125,342,"1,048","1,026",20,"2,439","2,439","2,312","2,091",90.40%,603,"1,835",604,.,10,10,10,10,100.00%,10,0,"1,996","1,996","1,996","1,773",88.80%,237,293,764,"1,232",0
OH-508,457,375,343,91.50%,246,191,20,95,277,180,0,246,177,145,81.90%,0,13,49,142,104,0,191,191,178,178,100.00%,46,135,56,0,20,20,20,20,100.00%,20,0,420,420,420,380,90.50%,193,78,136,284,0
OK-500,301,201,143,71.10%,208,93,0,53,133,105,63,208,140,82,58.60%,0,5,26,80,65,63,93,93,61,61,100.00%,27,53,40,0,0,0,0,0,0.00%,0,0,2,2,2,2,100.00%,2,0,0,2,0
OK-501,819,709,695,98.00%,511,258,50,84,262,514,43,511,425,425,100.00%,0,153,57,170,321,20,258,258,234,220,94.00%,27,92,143,23,50,50,50,50,100.00%,50,0,243,243,243,178,73.30%,118,4,10,233,0
OK-502,"1,241","1,140",947,83.10%,975,266,0,90,306,917,18,975,920,804,87.40%,0,32,57,187,770,18,266,266,220,143,65.00%,33,119,147,.,0,0,0,0,0.00%,0,0,603,603,588,392,66.70%,154,50,178,425,0
OK-503,223,166,0,0.00%,189,34,0,68,107,103,13,189,150,0,0.00%,0,15,43,78,98,13,34,34,16,.,.,25,29,5,.,0,0,0,0,0.00%,0,0,34,34,0,0,0.00%,0,23,34,0,0
OK-504,201,187,161,86.10%,46,155,0,61,147,54,0,46,32,32,100.00%,20,38,8,25,21,0,155,155,155,129,83.20%,53,122,33,.,0,0,0,0,0.00%,0,0,41,41,41,35,85.40%,4,9,20,21,0
OK-505,435,343,150,43.70%,337,98,0,52,165,244,26,337,253,68,26.90%,0,0,39,127,184,26,98,98,90,82,91.10%,13,38,60,0,0,0,0,0,0.00%,0,0,44,44,27,17,63.00%,24,4,10,34,0
OK-506,336,277,155,56.00%,217,110,9,30,149,153,34,217,158,98,62.00%,0,12,19,108,99,10,110,110,110,57,51.80%,11,41,45,24,9,9,9,0,0.00%,9,0,0,0,0,0,0.00%,0,0,0,0,0
OK-507,457,279,22,7.90%,412,45,0,59,155,211,91,412,234,22,9.40%,0,3,54,144,177,91,45,45,45,0,0.00%,5,11,34,0,0,0,0,0,0.00%,0,0,63,63,63,55,87.30%,0,15,50,13,0
OR-500,726,705,325,46.10%,463,263,0,93,297,419,10,463,442,62,14.00%,35,242,20,100,353,10,263,263,263,263,100.00%,73,197,66,.,0,0,0,0,0.00%,0,0,300,300,300,190,63.30%,81,18,65,235,0
OR-501,"2,588","2,256","1,910",84.70%,595,"1,993",0,445,"1,303","1,270",15,595,476,301,63.20%,255,112,47,163,418,14,"1,993","1,993","1,780","1,609",90.40%,398,"1,140",852,1,0,0,0,0,0.00%,0,0,"3,189","3,189","3,176","2,301",72.40%,862,288,879,"2,309",1
OR-502,566,532,162,30.50%,243,323,0,87,198,368,0,243,209,0,0.00%,12,0,29,79,164,0,323,323,323,162,50.20%,58,119,204,.,0,0,0,0,0.00%,0,0,804,804,804,337,41.90%,138,124,373,431,0
OR-503,338,314,207,65.90%,139,199,0,55,188,115,35,139,115,79,68.70%,19,17,18,58,63,18,199,199,199,128,64.30%,37,130,52,17,0,0,0,0,0.00%,0,0,73,73,73,0,0.00%,73,22,35,38,0
OR-505,"2,566","2,351",808,34.40%,"1,099","1,462",5,463,"1,200","1,329",37,"1,099",904,132,14.60%,71,96,179,402,672,25,"1,462","1,462","1,442",671,46.50%,284,798,652,12,5,5,5,5,100.00%,5,0,663,663,663,372,56.10%,124,123,348,315,0
OR-506,329,303,291,96.00%,98,221,10,81,238,87,4,98,72,72,100.00%,5,0,22,89,5,4,221,221,221,209,94.60%,59,149,72,0,10,10,10,10,100.00%,10,0,391,391,391,391,100.00%,73,48,163,228,0
OR-507,136,105,105,100.00%,34,102,0,48,118,18,0,34,16,16,100.00%,0,0,9,30,4,0,102,102,89,89,100.00%,39,88,14,.,0,0,0,0,0.00%,0,0,255,255,248,248,100.00%,15,44,152,103,0
PA-500,"5,750","5,598","4,682",83.60%,"3,387","2,293",70,938,"3,166","2,564",20,"3,387","3,287","2,615",79.60%,312,59,446,"1,496","1,871",20,"2,293","2,293","2,241","1,997",89.10%,492,"1,670",623,.,70,70,70,70,100.00%,70,0,"4,840","4,840","4,840","4,504",93.10%,"1,034",878,"2,904","1,933",3
PA-501,398,372,329,88.40%,197,176,25,71,203,195,0,197,179,164,91.60%,32,23,28,82,115,0,176,176,168,140,83.30%,43,121,55,.,25,25,25,25,100.00%,25,0,145,145,145,93,64.10%,30,15,47,98,0
PA-502,606,555,502,90.50%,330,276,0,127,388,218,0,330,307,271,88.30%,0,74,57,159,171,0,276,276,248,231,93.10%,70,229,47,0,0,0,0,0,0.00%,0,0,338,338,338,328,97.00%,33,41,138,200,0
PA-503,235,188,173,92.00%,102,133,0,30,89,140,6,102,80,80,100.00%,0,105,8,24,72,6,133,133,108,93,86.10%,22,65,68,0,0,0,0,0,0.00%,0,0,316,316,316,223,70.60%,32,59,176,140,0
PA-504,429,317,305,96.20%,192,237,0,91,315,114,0,192,165,153,92.70%,50,30,25,111,81,0,237,237,152,152,100.00%,66,204,33,0,0,0,0,0,0.00%,0,0,190,190,190,190,100.00%,58,20,63,127,0
PA-505,835,731,638,87.30%,348,479,8,90,295,540,0,348,323,281,87.00%,47,0,16,59,289,0,479,479,400,349,87.30%,74,236,243,0,8,8,8,8,100.00%,8,0,332,332,332,321,96.70%,157,29,55,277,0
PA-506,473,395,335,84.80%,188,285,0,73,244,229,0,188,162,102,63.00%,40,0,15,65,123,0,285,285,233,233,100.00%,58,179,106,.,0,0,0,0,0.00%,0,0,335,335,335,295,88.10%,84,56,135,200,0
PA-507,"1,264",901,695,77.10%,651,613,0,252,838,416,10,651,383,260,67.90%,41,6,116,406,235,10,613,613,518,435,84.00%,136,432,181,0,0,0,0,0,0.00%,0,0,574,574,574,348,60.60%,72,51,165,409,0
PA-508,245,224,224,100.00%,56,185,4,57,159,86,0,56,44,44,100.00%,0,7,10,26,30,0,185,185,176,176,100.00%,47,133,52,0,4,4,4,4,100.00%,4,0,51,51,51,51,100.00%,51,0,0,51,0
PA-509,948,823,590,71.70%,417,531,0,203,676,255,17,417,313,259,82.70%,21,4,63,257,148,12,531,531,510,331,64.90%,140,419,107,5,0,0,0,0,0.00%,0,0,423,423,423,382,90.30%,77,54,148,275,0
PA-510,641,580,571,98.40%,237,404,0,122,356,285,0,237,199,199,100.00%,45,0,34,105,132,0,404,404,381,372,97.60%,88,251,153,.,0,0,0,0,0.00%,0,0,170,170,170,125,73.50%,33,20,55,115,0
PA-511,439,420,403,96.00%,101,338,0,122,359,76,4,101,85,85,100.00%,50,1,26,74,23,4,338,338,335,318,94.90%,96,285,53,.,0,0,0,0,0.00%,0,0,64,64,64,56,87.50%,22,6,20,44,0
PA-512,394,287,287,100.00%,213,181,0,51,219,175,0,213,168,168,100.00%,0,8,26,115,98,0,181,181,119,119,100.00%,25,104,77,0,0,0,0,0,0.00%,0,0,177,177,177,177,100.00%,16,5,13,164,0
PA-600,"1,479","1,346","1,113",82.70%,413,996,70,256,678,801,0,413,331,232,70.10%,108,12,49,130,283,0,996,996,945,811,85.80%,207,548,448,0,70,70,70,70,100.00%,70,0,"1,489","1,489","1,489","1,261",84.70%,455,345,"1,013",476,0
PA-601,791,642,576,89.70%,362,397,32,124,420,357,14,362,266,210,78.90%,0,13,48,179,183,0,397,397,344,334,97.10%,76,241,142,14,32,32,32,32,100.00%,32,0,444,444,389,299,76.90%,64,69,195,249,0
PA-602,525,331,129,39.00%,316,209,0,89,261,264,0,316,187,40,21.40%,0,9,45,143,173,0,209,209,144,89,61.80%,44,118,91,0,0,0,0,0,0.00%,0,0,425,425,398,361,90.70%,55,55,157,268,0
PA-603,130,95,95,100.00%,43,87,0,18,60,70,0,43,18,18,100.00%,10,0,9,31,12,0,87,87,77,77,100.00%,9,29,58,0,0,0,0,0,0.00%,0,0,141,141,141,141,100.00%,5,17,48,93,0
PA-605,468,355,350,98.60%,272,196,0,90,265,203,0,272,187,187,100.00%,0,5,34,136,136,0,196,196,168,163,97.00%,56,129,67,0,0,0,0,0,0.00%,0,0,403,403,403,379,94.00%,95,53,135,268,0
PR-502,"1,479","1,126",878,78.00%,342,"1,115",22,116,376,"1,103",0,342,218,190,87.20%,0,0,35,79,263,0,"1,115","1,115",886,666,75.20%,81,297,818,.,22,22,22,22,100.00%,22,0,"1,154","1,154","1,149","1,084",94.30%,541,155,362,792,0
PR-503,720,565,565,100.00%,241,424,55,73,215,505,0,241,168,168,100.00%,0,0,16,71,170,0,424,424,342,342,100.00%,57,144,280,0,55,55,55,55,100.00%,55,0,237,237,237,237,100.00%,110,44,126,111,0
RI-500,"1,162","1,057",976,92.30%,689,456,17,218,561,601,0,689,615,571,92.80%,127,23,116,280,409,0,456,456,425,388,91.30%,102,281,175,.,17,17,17,17,100.00%,17,0,"1,919","1,919","1,915","1,320",68.90%,310,308,852,"1,067",0
SC-500,354,328,267,81.40%,171,183,0,27,71,283,0,171,145,128,88.30%,0,3,12,38,133,0,183,183,183,139,76.00%,15,33,150,0,0,0,0,0,0.00%,0,0,274,274,274,68,24.80%,43,9,23,251,0
SC-501,"2,802","2,531","1,293",51.10%,933,"1,857",12,193,"1,638","1,164",0,933,715,531,74.30%,213,237,31,331,602,0,"1,857","1,857","1,804",750,41.60%,162,"1,307",550,.,12,12,12,12,100.00%,12,0,189,189,189,150,79.40%,98,9,18,171,0
SC-502,"1,068",941,853,90.60%,449,619,0,139,393,675,0,449,322,276,85.70%,235,41,53,161,288,0,619,619,619,577,93.20%,86,232,387,.,0,0,0,0,0.00%,0,0,742,742,641,641,100.00%,57,116,369,373,0
SC-503,601,511,477,93.30%,293,308,0,85,300,301,0,293,215,215,100.00%,0,37,39,121,172,0,308,308,296,262,88.50%,46,179,129,.,0,0,0,0,0.00%,0,0,422,422,422,419,99.30%,63,77,237,185,0
SD-500,"1,444","1,032",433,42.00%,890,554,0,240,693,653,98,890,478,204,42.70%,0,85,179,506,346,38,554,554,554,229,41.30%,61,187,307,60,0,0,0,0,0.00%,0,0,614,614,614,434,70.70%,139,71,247,367,0
TN-500,277,235,235,100.00%,157,120,0,52,150,127,0,157,147,147,100.00%,160,0,14,48,109,0,120,120,88,88,100.00%,38,102,18,0,0,0,0,0,0.00%,0,0,421,421,402,337,83.80%,64,72,207,214,0
TN-501,"1,874","1,777","1,297",73.00%,425,"1,449",0,220,739,"1,127",8,425,398,360,90.50%,0,100,37,137,280,8,"1,449","1,449","1,379",937,67.90%,183,602,847,.,0,0,0,0,0.00%,0,0,840,840,840,411,48.90%,557,88,322,518,0
TN-502,893,866,661,76.30%,400,493,0,114,195,698,0,400,385,380,98.70%,0,122,32,66,334,0,493,493,481,281,58.40%,82,129,364,.,0,0,0,0,0.00%,0,0,791,791,687,479,69.70%,292,189,390,401,0
TN-503,343,267,186,69.70%,172,171,0,24,79,264,0,172,110,86,78.20%,0,21,17,49,123,0,171,171,157,100,63.70%,7,30,141,.,0,0,0,0,0.00%,0,0,170,170,170,124,72.90%,28,21,74,96,0
TN-504,"1,577","1,461",469,32.10%,685,876,16,117,310,"1,243",24,685,618,31,5.00%,196,0,43,139,532,14,876,876,827,422,51.00%,74,171,695,10,16,16,16,16,100.00%,16,0,"1,248","1,248","1,248",848,67.90%,135,302,679,569,0
TN-506,265,206,90,43.70%,193,72,0,37,130,127,8,193,140,34,24.30%,0,3,26,93,92,8,72,72,66,56,84.80%,11,37,35,0,0,0,0,0,0.00%,0,0,107,107,107,107,100.00%,88,46,91,16,0
TN-507,285,227,72,31.70%,176,101,8,49,179,106,0,176,133,21,15.80%,0,1,34,124,52,0,101,101,86,43,50.00%,15,55,46,.,8,8,8,8,100.00%,8,0,214,214,214,209,97.70%,36,21,53,161,0
TN-509,467,363,230,63.40%,353,114,0,48,172,295,0,353,249,116,46.60%,0,0,38,136,217,0,114,114,114,114,100.00%,10,36,78,.,0,0,0,0,0.00%,0,0,327,327,291,171,58.80%,256,27,75,252,0
TN-510,156,109,75,68.80%,116,40,0,22,81,75,0,116,76,60,78.90%,0,14,18,65,51,0,40,40,33,15,45.50%,4,16,24,0,0,0,0,0,0.00%,0,0,135,135,131,88,67.20%,21,25,68,67,0
TN-512,355,222,172,77.50%,210,145,0,74,208,147,0,210,96,76,79.20%,0,58,45,133,77,0,145,145,126,96,76.20%,29,75,70,0,0,0,0,0,0.00%,0,0,35,35,35,0,0.00%,0,18,35,0,0
TX-500,"2,272","1,935","1,722",89.00%,"1,434",794,44,425,"1,184","1,088",0,"1,434","1,161","1,099",94.70%,7,12,264,618,816,0,794,794,730,579,79.30%,161,566,228,.,44,44,44,44,100.00%,44,0,"1,651","1,651","1,651",457,27.70%,151,973,"1,223",428,0
TX-501,942,877,284,32.40%,610,332,0,85,186,719,37,610,545,116,21.30%,80,29,70,86,487,37,332,332,332,168,50.60%,15,100,232,.,0,0,0,0,0.00%,0,0,114,114,114,15,13.20%,20,12,48,66,0
TX-503,"1,173",939,925,98.50%,627,530,16,216,690,447,36,627,521,521,100.00%,12,121,78,267,340,20,530,530,402,388,96.50%,138,423,91,16,16,16,16,16,100.00%,16,0,957,957,957,667,69.70%,305,248,484,473,0
TX-504,111,111,110,99.10%,57,54,0,15,63,47,1,57,57,56,98.20%,0,0,9,33,23,1,54,54,54,54,100.00%,6,30,24,0,0,0,0,0,0.00%,0,0,53,53,53,53,100.00%,17,6,18,35,0
TX-600,"3,689","3,134",669,21.30%,"2,115","1,549",25,700,"1,508","2,181",0,"2,115","1,799",0,0.00%,0,50,424,711,"1,404",0,"1,549","1,549","1,310",644,49.20%,276,797,752,.,25,25,25,25,100.00%,25,0,"2,020","2,020","2,020",990,49.00%,975,282,649,"1,371",0
TX-601,"2,183","1,820","1,799",98.80%,"1,264",898,21,355,"1,125","1,058",0,"1,264","1,090","1,090",100.00%,33,71,104,427,837,0,898,898,709,688,97.00%,251,698,200,.,21,21,21,21,100.00%,21,0,"1,521","1,521","1,521","1,521",100.00%,775,104,289,"1,232",0
TX-603,"1,302","1,201","1,027",85.50%,752,530,20,143,570,726,6,752,666,599,89.90%,0,51,48,234,512,6,530,530,515,408,79.20%,95,336,194,0,20,20,20,20,100.00%,20,0,80,80,80,80,100.00%,47,5,16,64,0
TX-604,282,209,197,94.30%,121,161,0,36,138,144,0,121,66,54,81.80%,0,33,16,58,63,0,161,161,143,143,100.00%,20,80,81,.,0,0,0,0,0.00%,0,0,108,108,108,31,28.70%,15,7,27,81,0
TX-607,"4,772","2,866","1,889",65.90%,"3,720","1,052",0,646,"2,497","2,215",60,"3,720","2,146","1,298",60.50%,20,268,447,"1,802","1,887",31,"1,052","1,052",720,591,82.10%,199,695,328,29,0,0,0,0,0.00%,0,0,537,537,537,179,33.30%,287,50,180,357,0
TX-611,649,625,614,98.20%,580,69,0,72,261,388,0,580,556,545,98.00%,0,210,54,199,381,0,69,69,69,69,100.00%,18,62,7,0,0,0,0,0,0.00%,0,0,190,190,190,97,51.10%,51,39,73,117,0
TX-624,294,226,226,100.00%,294,0,0,18,152,142,0,294,226,226,100.00%,0,0,18,152,142,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,7,7,7,7,100.00%,1,3,3,4,0
TX-700,"4,318","3,470","2,751",79.30%,"1,191","3,102",25,486,"1,910","2,408",0,"1,191","1,035","1,029",99.40%,0,82,123,499,692,0,"3,102","3,102","2,410","1,697",70.40%,363,"1,411","1,691",0,25,25,25,25,100.00%,25,0,"3,066","3,066","2,853","1,777",62.30%,291,520,"1,324","1,742",0
TX-701,280,235,215,91.50%,207,73,0,42,95,185,0,207,162,148,91.40%,0,9,27,65,142,0,73,73,73,67,91.80%,15,30,43,.,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
TX-703,613,470,119,25.30%,228,385,0,58,221,355,37,228,175,72,41.10%,0,33,22,70,142,16,385,385,295,47,15.90%,36,151,213,21,0,0,0,0,0.00%,0,0,51,51,51,25,49.00%,0,7,9,42,0
UT-500,"1,953","1,639","1,484",90.50%,966,938,49,247,816,"1,111",26,966,789,688,87.20%,399,45,89,297,645,24,938,938,801,747,93.30%,158,519,417,2,49,49,49,49,100.00%,49,0,"1,301","1,301","1,301","1,236",95.00%,523,160,532,769,0
UT-503,948,588,431,73.30%,449,499,0,174,556,392,0,449,283,227,80.20%,0,11,65,201,248,0,499,499,305,204,66.90%,109,355,144,0,0,0,0,0,0.00%,0,0,176,176,176,102,58.00%,72,2,7,169,0
UT-504,119,60,38,63.30%,71,48,0,19,65,45,9,71,40,18,45.00%,0,0,9,33,29,9,48,48,20,20,100.00%,10,32,16,.,0,0,0,0,0.00%,0,0,281,281,259,197,76.10%,167,14,46,235,0
VA-500,906,842,682,81.00%,334,562,10,78,283,623,0,334,282,276,97.90%,40,71,31,124,210,0,562,562,550,396,72.00%,47,159,403,.,10,10,10,10,100.00%,10,0,685,685,685,257,37.50%,122,100,299,386,0
VA-501,542,430,253,58.80%,340,202,0,73,290,252,0,340,280,127,45.40%,120,62,38,162,178,0,202,202,150,126,84.00%,35,128,74,0,0,0,0,0,0.00%,0,0,356,356,356,281,78.90%,177,28,116,235,5
VA-502,738,662,166,25.10%,642,96,0,49,217,521,0,642,566,70,12.40%,0,5,32,170,472,0,96,96,96,96,100.00%,17,47,49,0,0,0,0,0,0.00%,0,0,121,121,121,54,44.60%,18,15,34,87,0
VA-503,396,266,213,80.10%,125,271,0,69,278,118,0,125,62,61,98.40%,64,0,16,74,51,0,271,271,204,152,74.50%,53,204,67,.,0,0,0,0,0.00%,0,0,303,303,303,303,100.00%,64,20,52,251,0
VA-504,167,129,57,44.20%,97,70,0,104,151,12,4,97,67,0,0.00%,65,5,88,88,5,4,70,70,62,57,91.90%,16,63,7,.,0,0,0,0,0.00%,0,0,39,39,39,39,100.00%,28,1,2,37,0
VA-505,554,426,216,50.70%,291,241,22,72,249,305,0,291,226,83,36.70%,215,65,40,120,171,0,241,241,178,111,62.40%,32,129,112,.,22,22,22,22,100.00%,22,0,466,466,466,166,35.60%,78,70,152,314,0
VA-507,126,84,84,100.00%,72,54,0,27,103,23,0,72,30,30,100.00%,80,0,17,62,10,0,54,54,54,54,100.00%,10,41,13,0,0,0,0,0,0.00%,0,0,132,132,132,132,100.00%,44,8,16,116,0
VA-508,245,194,176,90.70%,138,107,0,39,132,113,0,138,87,87,100.00%,0,0,26,83,55,0,107,107,107,89,83.20%,13,49,58,.,0,0,0,0,0.00%,0,0,46,46,46,46,100.00%,0,14,33,13,0
VA-509,68,68,68,100.00%,46,22,0,14,14,54,0,46,46,46,100.00%,0,10,14,14,32,0,22,22,22,22,100.00%,.,.,22,.,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
VA-510,168,128,120,93.80%,160,8,0,56,68,100,0,160,120,120,100.00%,0,0,56,68,92,0,8,8,8,0,0.00%,.,.,8,.,0,0,0,0,0.00%,0,0,46,46,46,22,47.80%,0,0,0,46,0
VA-513,247,143,34,23.80%,189,58,0,30,92,155,0,189,110,22,20.00%,0,29,15,45,144,0,58,58,33,12,36.40%,15,47,11,.,0,0,0,0,0.00%,0,0,42,42,42,4,9.50%,4,10,28,14,0
VA-514,155,132,124,93.90%,111,44,0,32,94,61,0,111,88,80,90.90%,37,13,15,50,61,0,44,44,44,44,100.00%,17,44,0,0,0,0,0,0,0.00%,0,0,82,82,60,60,100.00%,43,7,20,62,0
VA-517,99,99,59,59.60%,87,12,0,3,31,68,0,87,87,47,54.00%,0,4,3,31,56,0,12,12,12,12,100.00%,0,0,12,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
VA-518,149,133,133,100.00%,146,3,0,22,91,58,0,146,130,130,100.00%,40,0,21,88,58,0,3,3,3,3,100.00%,1,3,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
VA-521,771,538,459,85.30%,378,393,0,152,587,184,0,378,181,129,71.30%,24,2,59,231,147,0,393,393,357,330,92.40%,93,356,37,.,0,0,0,0,0.00%,0,0,17,17,17,12,70.60%,12,1,5,12,0
VA-600,271,271,260,95.90%,126,141,4,66,211,60,0,126,126,115,91.30%,73,15,26,82,44,0,141,141,141,141,100.00%,40,129,12,.,4,4,4,4,100.00%,4,0,113,113,113,113,100.00%,56,14,36,77,0
VA-601,"1,156",985,890,90.40%,396,752,8,265,858,297,1,396,324,324,100.00%,204,109,79,239,157,0,752,752,653,558,85.50%,186,619,132,1,8,8,8,8,100.00%,8,0,394,394,394,366,92.90%,139,30,106,288,0
VA-602,149,137,137,100.00%,77,72,0,41,124,25,0,77,65,65,100.00%,16,2,26,61,16,0,72,72,72,72,100.00%,15,63,9,.,0,0,0,0,0.00%,0,0,2,2,2,2,100.00%,1,0,0,2,0
VA-603,308,291,268,92.10%,161,135,12,48,148,160,0,161,144,144,100.00%,67,0,20,71,90,0,135,135,135,112,83.00%,28,77,58,0,12,12,12,12,100.00%,12,0,33,33,33,33,100.00%,0,3,8,25,0
VA-604,299,299,295,98.70%,106,193,0,80,274,25,0,106,106,102,96.20%,47,0,22,81,25,0,193,193,193,193,100.00%,58,193,0,0,0,0,0,0,0.00%,0,0,25,25,25,25,100.00%,25,1,3,22,0
VI-500,158,114,114,100.00%,99,59,0,34,61,97,0,99,75,75,100.00%,0,0,14,41,58,0,59,59,39,39,100.00%,20,20,39,0,0,0,0,0,0.00%,0,0,63,63,63,63,100.00%,14,9,34,29,0
VT-500,645,551,296,53.70%,338,301,6,109,302,335,8,338,265,111,41.90%,49,0,52,151,180,7,301,301,280,179,63.90%,57,151,149,1,6,6,6,6,100.00%,6,0,420,420,420,284,67.60%,115,48,133,287,0
VT-501,336,228,161,70.60%,228,108,0,77,197,139,0,228,179,132,73.70%,4,0,50,136,92,0,108,108,49,29,59.20%,27,61,47,.,0,0,0,0,0.00%,0,0,95,95,95,82,86.30%,39,2,6,89,0
WA-500,"6,737","6,110","5,070",83.00%,"2,590","4,102",45,"1,021","3,775","2,910",52,"2,590","2,404","1,990",82.80%,326,184,195,760,"1,808",22,"4,102","4,102","3,661","3,035",82.90%,826,"3,015","1,057",30,45,45,45,45,100.00%,45,0,"4,225","4,225","4,225","3,531",83.60%,"1,601",257,815,"3,410",0
WA-501,"4,356","3,700","3,022",81.70%,"1,857","2,499",0,920,"3,035","1,300",21,"1,857","1,379","1,030",74.70%,306,151,332,"1,228",608,21,"2,499","2,499","2,321","1,992",85.80%,588,"1,807",692,.,0,0,0,0,0.00%,0,0,"1,425","1,425","1,425","1,244",87.30%,363,155,367,"1,058",0
WA-502,"1,199","1,104",680,61.60%,633,566,0,193,661,517,21,633,593,313,52.80%,0,0,59,269,343,21,566,566,511,367,71.80%,134,392,174,0,0,0,0,0,0.00%,0,0,530,530,530,285,53.80%,136,57,133,397,0
WA-503,"1,776","1,568","1,284",81.90%,488,"1,288",0,422,"1,290",486,0,488,410,384,93.70%,110,37,74,226,262,0,"1,288","1,288","1,158",900,77.70%,348,"1,064",224,.,0,0,0,0,0.00%,0,0,524,524,524,334,63.70%,258,28,93,431,0
WA-504,"1,541","1,460","1,421",97.30%,400,"1,141",0,396,"1,192",319,30,400,381,367,96.30%,0,20,44,139,247,14,"1,141","1,141","1,079","1,054",97.70%,352,"1,053",72,16,0,0,0,0,0.00%,0,0,898,898,898,793,88.30%,204,152,490,408,0
WA-507,593,485,224,46.20%,335,258,0,139,413,180,0,335,298,101,33.90%,45,14,54,174,161,0,258,258,187,123,65.80%,85,239,19,.,0,0,0,0,0.00%,0,0,214,214,214,133,62.10%,20,26,68,146,0
WA-508,764,741,728,98.20%,161,593,10,204,554,210,0,161,138,138,100.00%,74,41,44,111,50,0,593,593,593,580,97.80%,160,443,150,.,10,10,10,10,100.00%,10,0,597,597,597,102,17.10%,169,84,236,361,0
WI-500,"3,894","2,753","2,410",87.50%,"2,060","1,827",7,829,"2,525","1,345",24,"2,060","1,323","1,104",83.40%,175,346,372,"1,226",818,16,"1,827","1,827","1,423","1,299",91.30%,457,"1,299",520,8,7,7,7,7,100.00%,7,0,421,421,421,266,63.20%,32,31,91,330,0
WI-501,"1,571","1,494","1,355",90.70%,745,783,43,231,738,797,36,745,678,615,90.70%,31,0,81,265,452,28,783,783,773,697,90.20%,150,473,302,8,43,43,43,43,100.00%,43,0,"1,140","1,140","1,140",977,85.70%,146,81,230,910,0
WI-502,305,250,232,92.80%,199,106,0,49,130,175,0,199,168,150,89.30%,0,0,29,85,114,0,106,106,82,82,100.00%,20,45,61,.,0,0,0,0,0.00%,0,0,95,95,86,49,57.00%,31,2,6,89,0
