,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
NY,"69,190","64,681","58,405",90.30%,"55,176","13,838",176,"13,163","43,350","25,653",187,"55,176","52,368","48,305",92.20%,206,"2,682","11,333","37,322","17,730",124,"13,838","13,838","12,146","9,933",81.80%,"1,830","6,028","7,747",63,176,176,167,167,100.00%,176,0,"30,302","30,302","29,854","20,522",68.70%,"8,871","3,660","10,012","20,290",0
OH,"12,499","11,215","9,607",85.70%,"6,144","6,257",98,"2,012","6,120","6,271",108,"6,144","5,186","4,363",84.10%,492,385,793,"2,429","3,617",98,"6,257","6,257","5,931","5,146",86.80%,"1,219","3,691","2,556",10,98,98,98,98,100.00%,98,0,"12,563","12,563","12,563","11,138",88.70%,"3,022","1,801","4,818","7,745",0
OK,"4,013","3,302","2,273",68.80%,"2,895","1,059",59,497,"1,424","2,301",288,"2,895","2,312","1,531",66.20%,20,258,303,919,"1,735",241,"1,059","1,059",931,692,74.30%,194,505,507,47,59,59,59,50,84.70%,59,0,"1,030","1,030",964,679,70.40%,302,105,302,728,0
OR,"7,249","6,566","3,808",58.00%,"2,671","4,563",15,"1,272","3,542","3,606",101,"2,671","2,234",662,29.60%,397,467,324,921,"1,679",71,"4,563","4,563","4,317","3,131",72.50%,948,"2,621","1,912",30,15,15,15,15,100.00%,15,0,"5,675","5,675","5,655","3,839",67.90%,"1,366",667,"2,015","3,659",1
PA,"16,050","14,160","11,997",84.70%,"7,825","8,016",209,"2,804","8,991","6,988",71,"7,825","6,684","5,368",80.30%,756,356,"1,055","3,598","4,175",52,"8,016","8,016","7,267","6,420",88.30%,"1,749","5,393","2,604",19,209,209,209,209,100.00%,209,0,"10,857","10,857","10,775","9,534",88.50%,"2,373","1,773","5,467","5,387",3
PR,"2,199","1,691","1,443",85.30%,583,"1,539",77,189,591,"1,608",0,583,386,358,92.70%,0,0,51,150,433,0,"1,539","1,539","1,228","1,008",82.10%,138,441,"1,098",0,77,77,77,77,100.00%,77,0,"1,391","1,391","1,386","1,321",95.30%,651,199,488,903,0
RI,"1,162","1,057",976,92.30%,689,456,17,218,561,601,0,689,615,571,92.80%,127,23,116,280,409,0,456,456,425,388,91.30%,102,281,175,.,17,17,17,17,100.00%,17,0,"1,919","1,919","1,915","1,320",68.90%,310,308,852,"1,067",0
SC,"4,825","4,311","2,890",67.00%,"1,846","2,967",12,444,"2,402","2,423",0,"1,846","1,397","1,150",82.30%,448,318,135,651,"1,195",0,"2,967","2,967","2,902","1,728",59.50%,309,"1,751","1,216",0,12,12,12,12,100.00%,12,0,"1,627","1,627","1,526","1,278",83.70%,261,211,647,980,0
SD,"1,444","1,032",433,42.00%,890,554,0,240,693,653,98,890,478,204,42.70%,0,85,179,506,346,38,554,554,554,229,41.30%,61,187,307,60,0,0,0,0,0.00%,0,0,614,614,614,434,70.70%,139,71,247,367,0
TN,"6,492","5,733","3,487",60.80%,"2,887","3,581",24,757,"2,243","4,209",40,"2,887","2,352","1,311",55.70%,356,319,304,990,"1,867",30,"3,581","3,581","3,357","2,152",64.10%,453,"1,253","2,318",10,24,24,24,24,100.00%,24,0,"4,288","4,288","4,125","2,774",67.20%,"1,477",809,"1,994","2,294",0
